auction,price_eur,price_gbp,DeliveryDate,DeliveryInterval
DAM,55.09,49.595,2021/01/01,1
DAM,54.02,48.632,2021/01/01,1
DAM,53,47.713,2021/01/01,1
DAM,51.24,46.129,2021/01/01,1
DAM,48.13,43.329,2021/01/01,1
DAM,47.3,42.582,2021/01/01,1
DAM,47.63,42.879,2021/01/01,1
DAM,45.36,40.835,2021/01/01,1
DAM,43.45,39.116,2021/01/01,1
DAM,47.79,43.023,2021/01/01,1
DAM,51.82,46.65,2021/01/01,1
DAM,55.02,49.532,2021/01/01,1
DAM,57.02,51.332,2021/01/01,1
DAM,61.32,55.203,2021/01/01,1
DAM,64.52,58.084,2021/01/01,1
DAM,68.07,61.28,2021/01/01,1
DAM,68.48,61.649,2021/01/01,1
DAM,96.09,86.505,2021/01/01,1
DAM,124.23,111.838,2021/01/01,1
DAM,93,83.723,2021/01/01,1
DAM,83.31,75,2021/01/01,1
DAM,74,66.619,2021/01/01,1
DAM,90,81.023,2021/01/01,1
DAM,73,65.718,2021/01/01,1
DAM,69.9,62.928,2021/01/02,1
DAM,69.9,62.928,2021/01/02,1
DAM,64,57.616,2021/01/02,1
DAM,60,54.015,2021/01/02,1
DAM,58.82,52.953,2021/01/02,1
DAM,55.03,49.541,2021/01/02,1
DAM,54.9,49.424,2021/01/02,1
DAM,58.82,52.953,2021/01/02,1
DAM,55,49.514,2021/01/02,1
DAM,61.51,55.375,2021/01/02,1
DAM,72.96,65.68,2021/01/02,1
DAM,81.36,73.245,2021/01/02,1
DAM,85,76.521,2021/01/02,1
DAM,85.27,76.764,2021/01/02,1
DAM,82.81,74.55,2021/01/02,1
DAM,79.9,71.93,2021/01/02,1
DAM,79.75,71.795,2021/01/02,1
DAM,105.95,95.382,2021/01/02,1
DAM,144,129.636,2021/01/02,1
DAM,114,102.629,2021/01/02,1
DAM,95.32,85.812,2021/01/02,1
DAM,81.6,73.461,2021/01/02,1
DAM,84.29,75.882,2021/01/02,1
DAM,71,63.918,2021/01/02,1
DAM,67.11,60.416,2021/01/03,1
DAM,62.15,55.951,2021/01/03,1
DAM,58.82,52.953,2021/01/03,1
DAM,55.03,49.541,2021/01/03,1
DAM,53,47.713,2021/01/03,1
DAM,50.87,45.796,2021/01/03,1
DAM,50.44,45.409,2021/01/03,1
DAM,52,46.813,2021/01/03,1
DAM,51.05,45.958,2021/01/03,1
DAM,53.4,48.073,2021/01/03,1
DAM,61.51,55.375,2021/01/03,1
DAM,65.76,59.201,2021/01/03,1
DAM,69.18,62.279,2021/01/03,1
DAM,74.87,67.4,2021/01/03,1
