Latitude (decimal degrees):	54.3503
Longitude (decimal degrees):	-6.6528
Radiation database:	CAMS
Representative town:	Armagh

time,GHI,DHI,BHI,BNI
20230101:0000,0.0,0.0,0.0,0.0
20230101:0030,0.0,0.0,0.0,0.0
20230101:0100,0.0,0.0,0.0,0.0
20230101:0130,0.0,0.0,0.0,0.0
20230101:0200,0.0,0.0,0.0,0.0
20230101:0230,0.0,0.0,0.0,0.0
20230101:0300,0.0,0.0,0.0,0.0
20230101:0330,0.0,0.0,0.0,0.0
20230101:0400,0.0,0.0,0.0,0.0
20230101:0430,0.0,0.0,0.0,0.0
20230101:0500,0.0,0.0,0.0,0.0
20230101:0530,0.0,0.0,0.0,0.0
20230101:0600,0.0,0.0,0.0,0.0
20230101:0630,0.0,0.0,0.0,0.0
20230101:0700,0.0,0.0,0.0,0.0
20230101:0730,0.0,0.0,0.0,0.0
20230101:0800,0.0,0.0,0.0,0.0
20230101:0830,0.0,0.0,0.0,0.0
20230101:0900,2.5,2.5,0.0,0.0
20230101:0930,7.8,7.8,0.0,0.0
20230101:1000,12.9,12.9,0.0,0.0
20230101:1030,27.3,27.3,0.0,0.0
20230101:1100,49.8,49.8,0.0,0.0
20230101:1130,72.6,70.2,2.4,11.3
20230101:1200,108.6,92.3,16.4,75.5
20230101:1230,87.3,84.7,2.6,12.1
20230101:1300,43.8,43.7,0.1,0.7
20230101:1330,89.7,84.9,4.8,25.0
20230101:1400,50.4,50.4,0.0,0.2
20230101:1430,65.0,63.9,1.1,8.5
20230101:1500,33.2,33.2,0.0,0.0
20230101:1530,10.5,10.5,0.0,0.0
20230101:1600,0.1,0.1,0.0,0.0
20230101:1630,0.0,0.0,0.0,0.0
20230101:1700,0.0,0.0,0.0,0.0
20230101:1730,0.0,0.0,0.0,0.0
20230101:1800,0.0,0.0,0.0,0.0
20230101:1830,0.0,0.0,0.0,0.0
20230101:1900,0.0,0.0,0.0,0.0
20230101:1930,0.0,0.0,0.0,0.0
20230101:2000,0.0,0.0,0.0,0.0
20230101:2030,0.0,0.0,0.0,0.0
20230101:2100,0.0,0.0,0.0,0.0
20230101:2130,0.0,0.0,0.0,0.0
20230101:2200,0.0,0.0,0.0,0.0
20230101:2230,0.0,0.0,0.0,0.0
20230101:2300,0.0,0.0,0.0,0.0
20230101:2330,0.0,0.0,0.0,0.0
20230102:0000,0.0,0.0,0.0,0.0
20230102:0030,0.0,0.0,0.0,0.0
20230102:0100,0.0,0.0,0.0,0.0
20230102:0130,0.0,0.0,0.0,0.0
20230102:0200,0.0,0.0,0.0,0.0
20230102:0230,0.0,0.0,0.0,0.0
20230102:0300,0.0,0.0,0.0,0.0
20230102:0330,0.0,0.0,0.0,0.0
20230102:0400,0.0,0.0,0.0,0.0
20230102:0430,0.0,0.0,0.0,0.0
20230102:0500,0.0,0.0,0.0,0.0
20230102:0530,0.0,0.0,0.0,0.0
20230102:0600,0.0,0.0,0.0,0.0
20230102:0630,0.0,0.0,0.0,0.0
20230102:0700,0.0,0.0,0.0,0.0
20230102:0730,0.0,0.0,0.0,0.0
20230102:0800,0.0,0.0,0.0,0.0
20230102:0830,0.3,0.2,0.0,0.0
20230102:0900,20.5,10.8,9.7,210.4
20230102:0930,62.0,23.3,38.7,442.6
20230102:1000,104.9,32.1,72.9,562.9
20230102:1030,142.5,38.4,104.2,633.9
20230102:1100,148.7,63.8,84.9,447.4
20230102:1130,183.1,52.9,130.2,620.5
20230102:1200,174.3,71.8,102.5,468.7
20230102:1230,171.2,75.4,95.8,437.3
