Latitude (decimal degrees):	52.8408
Longitude (decimal degrees):	-6.9261
Radiation database:	CAMS
Representative town:	Carlow

time,GHI,DHI,BHI,BNI
20230101:0000,0.0,0.0,0.0,0.0
20230101:0030,0.0,0.0,0.0,0.0
20230101:0100,0.0,0.0,0.0,0.0
20230101:0130,0.0,0.0,0.0,0.0
20230101:0200,0.0,0.0,0.0,0.0
20230101:0230,0.0,0.0,0.0,0.0
20230101:0300,0.0,0.0,0.0,0.0
20230101:0330,0.0,0.0,0.0,0.0
20230101:0400,0.0,0.0,0.0,0.0
20230101:0430,0.0,0.0,0.0,0.0
20230101:0500,0.0,0.0,0.0,0.0
20230101:0530,0.0,0.0,0.0,0.0
20230101:0600,0.0,0.0,0.0,0.0
20230101:0630,0.0,0.0,0.0,0.0
20230101:0700,0.0,0.0,0.0,0.0
20230101:0730,0.0,0.0,0.0,0.0
20230101:0800,0.0,0.0,0.0,0.0
20230101:0830,0.9,0.9,0.0,0.0
20230101:0900,12.5,12.5,0.0,0.0
20230101:0930,48.8,34.4,14.4,121.7
20230101:1000,101.4,61.1,40.4,279.2
20230101:1030,148.7,64.6,84.2,448.3
20230101:1100,163.5,82.1,81.4,386.3
20230101:1130,165.1,98.1,67.1,284.4
20230101:1200,220.5,66.4,154.1,634.6
20230101:1230,180.6,117.6,62.9,258.2
20230101:1300,158.4,107.9,50.5,215.8
20230101:1330,139.9,108.8,31.1,142.5
20230101:1400,108.7,49.7,59.0,307.4
20230101:1430,81.5,77.0,4.5,29.9
20230101:1500,45.8,29.9,15.8,165.1
20230101:1530,35.0,16.5,18.5,304.9
20230101:1600,3.2,2.3,0.9,25.8
20230101:1630,0.0,0.0,0.0,0.0
20230101:1700,0.0,0.0,0.0,0.0
20230101:1730,0.0,0.0,0.0,0.0
20230101:1800,0.0,0.0,0.0,0.0
20230101:1830,0.0,0.0,0.0,0.0
20230101:1900,0.0,0.0,0.0,0.0
20230101:1930,0.0,0.0,0.0,0.0
20230101:2000,0.0,0.0,0.0,0.0
20230101:2030,0.0,0.0,0.0,0.0
20230101:2100,0.0,0.0,0.0,0.0
20230101:2130,0.0,0.0,0.0,0.0
20230101:2200,0.0,0.0,0.0,0.0
20230101:2230,0.0,0.0,0.0,0.0
20230101:2300,0.0,0.0,0.0,0.0
20230101:2330,0.0,0.0,0.0,0.0
20230102:0000,0.0,0.0,0.0,0.0
20230102:0030,0.0,0.0,0.0,0.0
20230102:0100,0.0,0.0,0.0,0.0
20230102:0130,0.0,0.0,0.0,0.0
20230102:0200,0.0,0.0,0.0,0.0
20230102:0230,0.0,0.0,0.0,0.0
20230102:0300,0.0,0.0,0.0,0.0
20230102:0330,0.0,0.0,0.0,0.0
20230102:0400,0.0,0.0,0.0,0.0
20230102:0430,0.0,0.0,0.0,0.0
20230102:0500,0.0,0.0,0.0,0.0
20230102:0530,0.0,0.0,0.0,0.0
20230102:0600,0.0,0.0,0.0,0.0
20230102:0630,0.0,0.0,0.0,0.0
20230102:0700,0.0,0.0,0.0,0.0
20230102:0730,0.0,0.0,0.0,0.0
20230102:0800,0.0,0.0,0.0,0.0
20230102:0830,2.3,1.7,0.6,14.4
20230102:0900,33.0,15.9,17.2,300.5
20230102:0930,80.3,28.1,52.1,490.9
20230102:1000,119.7,38.4,81.4,543.8
20230102:1030,149.9,55.2,94.7,508.1
20230102:1100,195.9,48.6,147.4,684.4
20230102:1130,214.3,52.5,161.8,690.4
20230102:1200,227.9,52.1,175.8,720.0
20230102:1230,232.1,49.3,182.7,746.7
