Latitude (decimal degrees):	52.8432
Longitude (decimal degrees):	-8.9867
Radiation database:	CAMS
Representative town:	Ennis

time,GHI,DHI,BHI,BNI
20230101:0000,0.0,0.0,0.0,0.0
20230101:0030,0.0,0.0,0.0,0.0
20230101:0100,0.0,0.0,0.0,0.0
20230101:0130,0.0,0.0,0.0,0.0
20230101:0200,0.0,0.0,0.0,0.0
20230101:0230,0.0,0.0,0.0,0.0
20230101:0300,0.0,0.0,0.0,0.0
20230101:0330,0.0,0.0,0.0,0.0
20230101:0400,0.0,0.0,0.0,0.0
20230101:0430,0.0,0.0,0.0,0.0
20230101:0500,0.0,0.0,0.0,0.0
20230101:0530,0.0,0.0,0.0,0.0
20230101:0600,0.0,0.0,0.0,0.0
20230101:0630,0.0,0.0,0.0,0.0
20230101:0700,0.0,0.0,0.0,0.0
20230101:0730,0.0,0.0,0.0,0.0
20230101:0800,0.0,0.0,0.0,0.0
20230101:0830,0.1,0.1,0.0,0.0
20230101:0900,6.9,6.9,0.0,0.0
20230101:0930,22.6,22.6,0.0,0.0
20230101:1000,41.5,41.5,0.0,0.0
20230101:1030,82.8,80.9,1.8,10.0
20230101:1100,102.7,100.1,2.7,13.1
20230101:1130,103.6,96.9,6.7,28.7
20230101:1200,178.3,90.4,87.9,362.5
20230101:1230,227.5,46.1,181.5,743.6
20230101:1300,220.4,45.1,175.3,737.9
20230101:1330,174.7,91.7,82.9,370.3
20230101:1400,105.2,97.3,7.9,38.7
20230101:1430,110.3,64.1,46.2,297.2
20230101:1500,70.2,21.8,48.4,375.8
20230101:1530,40.1,16.3,23.8,337.2
20230101:1600,8.8,5.1,3.8,99.5
20230101:1630,0.0,0.0,0.0,0.0
20230101:1700,0.0,0.0,0.0,0.0
20230101:1730,0.0,0.0,0.0,0.0
20230101:1800,0.0,0.0,0.0,0.0
20230101:1830,0.0,0.0,0.0,0.0
20230101:1900,0.0,0.0,0.0,0.0
20230101:1930,0.0,0.0,0.0,0.0
20230101:2000,0.0,0.0,0.0,0.0
20230101:2030,0.0,0.0,0.0,0.0
20230101:2100,0.0,0.0,0.0,0.0
20230101:2130,0.0,0.0,0.0,0.0
20230101:2200,0.0,0.0,0.0,0.0
20230101:2230,0.0,0.0,0.0,0.0
20230101:2300,0.0,0.0,0.0,0.0
20230101:2330,0.0,0.0,0.0,0.0
20230102:0000,0.0,0.0,0.0,0.0
20230102:0030,0.0,0.0,0.0,0.0
20230102:0100,0.0,0.0,0.0,0.0
20230102:0130,0.0,0.0,0.0,0.0
20230102:0200,0.0,0.0,0.0,0.0
20230102:0230,0.0,0.0,0.0,0.0
20230102:0300,0.0,0.0,0.0,0.0
20230102:0330,0.0,0.0,0.0,0.0
20230102:0400,0.0,0.0,0.0,0.0
20230102:0430,0.0,0.0,0.0,0.0
20230102:0500,0.0,0.0,0.0,0.0
20230102:0530,0.0,0.0,0.0,0.0
20230102:0600,0.0,0.0,0.0,0.0
20230102:0630,0.0,0.0,0.0,0.0
20230102:0700,0.0,0.0,0.0,0.0
20230102:0730,0.0,0.0,0.0,0.0
20230102:0800,0.0,0.0,0.0,0.0
20230102:0830,0.2,0.2,0.0,0.0
20230102:0900,19.9,13.0,7.0,142.3
20230102:0930,63.8,28.7,35.1,376.2
20230102:1000,107.3,42.1,65.2,472.7
20230102:1030,136.5,60.0,76.5,430.8
20230102:1100,184.5,52.6,131.9,632.7
20230102:1130,208.6,49.6,159.0,691.8
20230102:1200,216.4,55.1,161.2,665.4
20230102:1230,223.3,56.6,166.7,679.0
