Latitude (decimal degrees):	51.6806
Longitude (decimal degrees):	-9.4536
Radiation database:	CAMS
Representative town:	Bantry

time,GHI,DHI,BHI,BNI
20230101:0000,0.0,0.0,0.0,0.0
20230101:0030,0.0,0.0,0.0,0.0
20230101:0100,0.0,0.0,0.0,0.0
20230101:0130,0.0,0.0,0.0,0.0
20230101:0200,0.0,0.0,0.0,0.0
20230101:0230,0.0,0.0,0.0,0.0
20230101:0300,0.0,0.0,0.0,0.0
20230101:0330,0.0,0.0,0.0,0.0
20230101:0400,0.0,0.0,0.0,0.0
20230101:0430,0.0,0.0,0.0,0.0
20230101:0500,0.0,0.0,0.0,0.0
20230101:0530,0.0,0.0,0.0,0.0
20230101:0600,0.0,0.0,0.0,0.0
20230101:0630,0.0,0.0,0.0,0.0
20230101:0700,0.0,0.0,0.0,0.0
20230101:0730,0.0,0.0,0.0,0.0
20230101:0800,0.0,0.0,0.0,0.0
20230101:0830,0.3,0.3,0.0,0.0
20230101:0900,7.2,7.2,0.0,0.0
20230101:0930,20.2,20.2,0.0,0.0
20230101:1000,52.9,33.8,19.1,116.6
20230101:1030,66.6,55.8,10.8,59.2
20230101:1100,176.6,50.3,126.3,559.4
20230101:1130,167.2,61.2,106.0,435.2
20230101:1200,71.2,68.0,3.2,12.3
20230101:1230,228.6,63.2,165.4,627.2
20230101:1300,100.2,69.0,31.1,119.4
20230101:1330,193.0,42.8,150.2,623.5
20230101:1400,135.4,56.4,79.0,369.4
20230101:1430,160.9,35.7,125.2,683.8
20230101:1500,115.6,29.7,86.0,609.4
20230101:1530,65.4,21.8,43.5,472.9
20230101:1600,18.5,9.3,9.3,201.3
20230101:1630,0.0,0.0,0.0,0.0
20230101:1700,0.0,0.0,0.0,0.0
20230101:1730,0.0,0.0,0.0,0.0
20230101:1800,0.0,0.0,0.0,0.0
20230101:1830,0.0,0.0,0.0,0.0
20230101:1900,0.0,0.0,0.0,0.0
20230101:1930,0.0,0.0,0.0,0.0
20230101:2000,0.0,0.0,0.0,0.0
20230101:2030,0.0,0.0,0.0,0.0
20230101:2100,0.0,0.0,0.0,0.0
20230101:2130,0.0,0.0,0.0,0.0
20230101:2200,0.0,0.0,0.0,0.0
20230101:2230,0.0,0.0,0.0,0.0
20230101:2300,0.0,0.0,0.0,0.0
20230101:2330,0.0,0.0,0.0,0.0
20230102:0000,0.0,0.0,0.0,0.0
20230102:0030,0.0,0.0,0.0,0.0
20230102:0100,0.0,0.0,0.0,0.0
20230102:0130,0.0,0.0,0.0,0.0
20230102:0200,0.0,0.0,0.0,0.0
20230102:0230,0.0,0.0,0.0,0.0
20230102:0300,0.0,0.0,0.0,0.0
20230102:0330,0.0,0.0,0.0,0.0
20230102:0400,0.0,0.0,0.0,0.0
20230102:0430,0.0,0.0,0.0,0.0
20230102:0500,0.0,0.0,0.0,0.0
20230102:0530,0.0,0.0,0.0,0.0
20230102:0600,0.0,0.0,0.0,0.0
20230102:0630,0.0,0.0,0.0,0.0
20230102:0700,0.0,0.0,0.0,0.0
20230102:0730,0.0,0.0,0.0,0.0
20230102:0800,0.0,0.0,0.0,0.0
20230102:0830,1.0,0.9,0.1,0.0
20230102:0900,27.8,15.6,12.2,222.8
20230102:0930,76.0,30.8,45.2,429.5
20230102:1000,117.4,48.2,69.2,460.1
20230102:1030,152.3,62.6,89.7,459.6
20230102:1100,183.4,74.7,108.7,489.2
20230102:1130,192.3,86.7,105.6,424.4
20230102:1200,214.8,77.8,137.0,524.0
20230102:1230,199.0,97.4,101.5,382.5
