Latitude (decimal degrees):	54.9966
Longitude (decimal degrees):	-7.3086
Radiation database:	CAMS
Representative town:	Derry

time,GHI,DHI,BHI,BNI
20200101:0000,0.0,0.0,0.0,0.0
20200101:0030,0.0,0.0,0.0,0.0
20200101:0100,0.0,0.0,0.0,0.0
20200101:0130,0.0,0.0,0.0,0.0
20200101:0200,0.0,0.0,0.0,0.0
20200101:0230,0.0,0.0,0.0,0.0
20200101:0300,0.0,0.0,0.0,0.0
20200101:0330,0.0,0.0,0.0,0.0
20200101:0400,0.0,0.0,0.0,0.0
20200101:0430,0.0,0.0,0.0,0.0
20200101:0500,0.0,0.0,0.0,0.0
20200101:0530,0.0,0.0,0.0,0.0
20200101:0600,0.0,0.0,0.0,0.0
20200101:0630,0.0,0.0,0.0,0.0
20200101:0700,0.0,0.0,0.0,0.0
20200101:0730,0.0,0.0,0.0,0.0
20200101:0800,0.0,0.0,0.0,0.0
20200101:0830,0.0,0.0,0.0,0.0
20200101:0900,10.4,8.2,2.2,56.2
20200101:0930,43.5,25.1,18.4,246.0
20200101:1000,75.0,47.8,27.1,245.9
20200101:1030,97.1,68.2,28.9,183.6
20200101:1100,41.5,29.1,12.4,73.5
20200101:1130,59.6,58.9,0.6,3.3
20200101:1200,18.2,18.2,0.0,0.0
20200101:1230,45.5,45.5,0.1,0.3
20200101:1300,72.3,72.2,0.1,0.4
20200101:1330,83.7,82.8,1.0,5.3
20200101:1400,94.9,71.4,23.5,158.5
20200101:1430,83.3,43.5,39.8,324.2
20200101:1500,46.4,30.1,16.2,195.0
20200101:1530,13.8,11.8,2.0,44.6
20200101:1600,0.1,0.1,0.0,0.0
20200101:1630,0.0,0.0,0.0,0.0
20200101:1700,0.0,0.0,0.0,0.0
20200101:1730,0.0,0.0,0.0,0.0
20200101:1800,0.0,0.0,0.0,0.0
20200101:1830,0.0,0.0,0.0,0.0
20200101:1900,0.0,0.0,0.0,0.0
20200101:1930,0.0,0.0,0.0,0.0
20200101:2000,0.0,0.0,0.0,0.0
20200101:2030,0.0,0.0,0.0,0.0
20200101:2100,0.0,0.0,0.0,0.0
20200101:2130,0.0,0.0,0.0,0.0
20200101:2200,0.0,0.0,0.0,0.0
20200101:2230,0.0,0.0,0.0,0.0
20200101:2300,0.0,0.0,0.0,0.0
20200101:2330,0.0,0.0,0.0,0.0
20200102:0000,0.0,0.0,0.0,0.0
20200102:0030,0.0,0.0,0.0,0.0
20200102:0100,0.0,0.0,0.0,0.0
20200102:0130,0.0,0.0,0.0,0.0
20200102:0200,0.0,0.0,0.0,0.0
20200102:0230,0.0,0.0,0.0,0.0
20200102:0300,0.0,0.0,0.0,0.0
20200102:0330,0.0,0.0,0.0,0.0
20200102:0400,0.0,0.0,0.0,0.0
20200102:0430,0.0,0.0,0.0,0.0
20200102:0500,0.0,0.0,0.0,0.0
20200102:0530,0.0,0.0,0.0,0.0
20200102:0600,0.0,0.0,0.0,0.0
20200102:0630,0.0,0.0,0.0,0.0
20200102:0700,0.0,0.0,0.0,0.0
20200102:0730,0.0,0.0,0.0,0.0
20200102:0800,0.0,0.0,0.0,0.0
20200102:0830,0.0,0.0,0.0,0.0
20200102:0900,6.3,6.3,0.0,0.0
20200102:0930,26.4,26.4,0.0,0.1
20200102:1000,33.5,33.5,0.0,0.2
20200102:1030,13.0,13.0,0.0,0.0
20200102:1100,71.4,71.2,0.2,0.9
20200102:1130,47.5,47.5,0.0,0.1
20200102:1200,52.4,52.0,0.4,1.8
20200102:1230,115.0,95.8,19.2,92.3
20200102:1300,129.9,91.7,38.2,190.0
20200102:1330,90.3,81.8,8.5,45.7
20200102:1400,50.8,50.7,0.1,0.6
20200102:1430,45.4,42.4,3.0,26.2
20200102:1500,41.4,38.9,2.5,28.6
20200102:1530,13.4,13.1,0.3,5.3
20200102:1600,0.2,0.2,0.0,0.0
20200102:1630,0.0,0.0,0.0,0.0
20200102:1700,0.0,0.0,0.0,0.0
20200102:1730,0.0,0.0,0.0,0.0
20200102:1800,0.0,0.0,0.0,0.0
20200102:1830,0.0,0.0,0.0,0.0
20200102:1900,0.0,0.0,0.0,0.0
20200102:1930,0.0,0.0,0.0,0.0
20200102:2000,0.0,0.0,0.0,0.0
20200102:2030,0.0,0.0,0.0,0.0
20200102:2100,0.0,0.0,0.0,0.0
20200102:2130,0.0,0.0,0.0,0.0
20200102:2200,0.0,0.0,0.0,0.0
20200102:2230,0.0,0.0,0.0,0.0
20200102:2300,0.0,0.0,0.0,0.0
20200102:2330,0.0,0.0,0.0,0.0
20200103:0000,0.0,0.0,0.0,0.0
20200103:0030,0.0,0.0,0.0,0.0
20200103:0100,0.0,0.0,0.0,0.0
20200103:0130,0.0,0.0,0.0,0.0
20200103:0200,0.0,0.0,0.0,0.0
20200103:0230,0.0,0.0,0.0,0.0
20200103:0300,0.0,0.0,0.0,0.0
20200103:0330,0.0,0.0,0.0,0.0
20200103:0400,0.0,0.0,0.0,0.0
20200103:0430,0.0,0.0,0.0,0.0
20200103:0500,0.0,0.0,0.0,0.0
20200103:0530,0.0,0.0,0.0,0.0
20200103:0600,0.0,0.0,0.0,0.0
20200103:0630,0.0,0.0,0.0,0.0
20200103:0700,0.0,0.0,0.0,0.0
20200103:0730,0.0,0.0,0.0,0.0
20200103:0800,0.0,0.0,0.0,0.0
20200103:0830,0.0,0.0,0.0,0.0
20200103:0900,10.4,9.7,0.7,15.7
20200103:0930,43.1,31.0,12.1,155.5
20200103:1000,66.7,46.4,20.3,182.1
20200103:1030,111.2,57.1,54.1,350.2
20200103:1100,129.7,73.2,56.4,319.8
20200103:1130,112.1,90.7,21.4,106.1
20200103:1200,121.6,99.3,22.4,107.4
20200103:1230,107.4,88.8,18.6,88.8
20200103:1300,115.7,100.1,15.6,77.0
20200103:1330,136.9,71.6,65.3,353.5
20200103:1400,100.6,60.9,39.7,242.1
20200103:1430,56.9,44.3,12.6,109.3
20200103:1500,52.2,34.5,17.7,202.3
20200103:1530,17.0,14.8,2.2,44.7
20200103:1600,0.3,0.3,0.0,0.0
20200103:1630,0.0,0.0,0.0,0.0
20200103:1700,0.0,0.0,0.0,0.0
20200103:1730,0.0,0.0,0.0,0.0
20200103:1800,0.0,0.0,0.0,0.0
20200103:1830,0.0,0.0,0.0,0.0
20200103:1900,0.0,0.0,0.0,0.0
20200103:1930,0.0,0.0,0.0,0.0
20200103:2000,0.0,0.0,0.0,0.0
20200103:2030,0.0,0.0,0.0,0.0
20200103:2100,0.0,0.0,0.0,0.0
20200103:2130,0.0,0.0,0.0,0.0
20200103:2200,0.0,0.0,0.0,0.0
20200103:2230,0.0,0.0,0.0,0.0
20200103:2300,0.0,0.0,0.0,0.0
20200103:2330,0.0,0.0,0.0,0.0
20200104:0000,0.0,0.0,0.0,0.0
20200104:0030,0.0,0.0,0.0,0.0
20200104:0100,0.0,0.0,0.0,0.0
20200104:0130,0.0,0.0,0.0,0.0
20200104:0200,0.0,0.0,0.0,0.0
20200104:0230,0.0,0.0,0.0,0.0
20200104:0300,0.0,0.0,0.0,0.0
20200104:0330,0.0,0.0,0.0,0.0
20200104:0400,0.0,0.0,0.0,0.0
20200104:0430,0.0,0.0,0.0,0.0
20200104:0500,0.0,0.0,0.0,0.0
20200104:0530,0.0,0.0,0.0,0.0
20200104:0600,0.0,0.0,0.0,0.0
20200104:0630,0.0,0.0,0.0,0.0
20200104:0700,0.0,0.0,0.0,0.0
20200104:0730,0.0,0.0,0.0,0.0
20200104:0800,0.0,0.0,0.0,0.0
20200104:0830,0.0,0.0,0.0,0.0
20200104:0900,5.3,5.3,0.0,0.0
20200104:0930,21.5,21.5,0.0,0.0
20200104:1000,41.1,41.1,0.0,0.0
20200104:1030,71.5,71.2,0.3,1.8
20200104:1100,92.2,91.3,0.9,5.0
20200104:1130,94.2,93.9,0.4,1.9
20200104:1200,29.7,29.7,0.0,0.1
20200104:1230,89.7,89.0,0.7,3.4
20200104:1300,63.0,62.4,0.6,2.8
20200104:1330,95.7,94.8,0.9,4.7
20200104:1400,81.9,81.0,0.9,5.7
20200104:1430,70.1,68.1,2.0,15.5
20200104:1500,45.4,43.7,1.7,19.4
20200104:1530,16.0,15.7,0.3,6.6
20200104:1600,0.5,0.5,0.0,0.0
20200104:1630,0.0,0.0,0.0,0.0
20200104:1700,0.0,0.0,0.0,0.0
20200104:1730,0.0,0.0,0.0,0.0
20200104:1800,0.0,0.0,0.0,0.0
20200104:1830,0.0,0.0,0.0,0.0
20200104:1900,0.0,0.0,0.0,0.0
20200104:1930,0.0,0.0,0.0,0.0
20200104:2000,0.0,0.0,0.0,0.0
20200104:2030,0.0,0.0,0.0,0.0
20200104:2100,0.0,0.0,0.0,0.0
20200104:2130,0.0,0.0,0.0,0.0
20200104:2200,0.0,0.0,0.0,0.0
20200104:2230,0.0,0.0,0.0,0.0
20200104:2300,0.0,0.0,0.0,0.0
20200104:2330,0.0,0.0,0.0,0.0
20200105:0000,0.0,0.0,0.0,0.0
20200105:0030,0.0,0.0,0.0,0.0
20200105:0100,0.0,0.0,0.0,0.0
20200105:0130,0.0,0.0,0.0,0.0
20200105:0200,0.0,0.0,0.0,0.0
20200105:0230,0.0,0.0,0.0,0.0
20200105:0300,0.0,0.0,0.0,0.0
20200105:0330,0.0,0.0,0.0,0.0
20200105:0400,0.0,0.0,0.0,0.0
20200105:0430,0.0,0.0,0.0,0.0
20200105:0500,0.0,0.0,0.0,0.0
20200105:0530,0.0,0.0,0.0,0.0
20200105:0600,0.0,0.0,0.0,0.0
20200105:0630,0.0,0.0,0.0,0.0
20200105:0700,0.0,0.0,0.0,0.0
20200105:0730,0.0,0.0,0.0,0.0
20200105:0800,0.0,0.0,0.0,0.0
20200105:0830,0.0,0.0,0.0,0.0
20200105:0900,1.6,1.6,0.0,0.0
20200105:0930,6.5,6.5,0.0,0.0
20200105:1000,10.4,10.4,0.0,0.0
20200105:1030,13.2,13.2,0.0,0.0
20200105:1100,15.3,15.3,0.0,0.0
20200105:1130,16.8,16.8,0.0,0.0
20200105:1200,19.8,19.8,0.0,0.0
20200105:1230,18.4,18.4,0.0,0.0
20200105:1300,48.1,47.6,0.5,2.4
20200105:1330,40.2,40.0,0.2,1.0
20200105:1400,13.0,13.0,0.0,0.0
20200105:1430,10.4,10.4,0.0,0.0
20200105:1500,6.9,6.9,0.0,0.0
20200105:1530,2.5,2.5,0.0,0.0
20200105:1600,0.1,0.1,0.0,0.0
20200105:1630,0.0,0.0,0.0,0.0
20200105:1700,0.0,0.0,0.0,0.0
20200105:1730,0.0,0.0,0.0,0.0
20200105:1800,0.0,0.0,0.0,0.0
20200105:1830,0.0,0.0,0.0,0.0
20200105:1900,0.0,0.0,0.0,0.0
20200105:1930,0.0,0.0,0.0,0.0
20200105:2000,0.0,0.0,0.0,0.0
20200105:2030,0.0,0.0,0.0,0.0
20200105:2100,0.0,0.0,0.0,0.0
20200105:2130,0.0,0.0,0.0,0.0
20200105:2200,0.0,0.0,0.0,0.0
20200105:2230,0.0,0.0,0.0,0.0
20200105:2300,0.0,0.0,0.0,0.0
20200105:2330,0.0,0.0,0.0,0.0
20200106:0000,0.0,0.0,0.0,0.0
20200106:0030,0.0,0.0,0.0,0.0
20200106:0100,0.0,0.0,0.0,0.0
20200106:0130,0.0,0.0,0.0,0.0
20200106:0200,0.0,0.0,0.0,0.0
20200106:0230,0.0,0.0,0.0,0.0
20200106:0300,0.0,0.0,0.0,0.0
20200106:0330,0.0,0.0,0.0,0.0
20200106:0400,0.0,0.0,0.0,0.0
20200106:0430,0.0,0.0,0.0,0.0
20200106:0500,0.0,0.0,0.0,0.0
20200106:0530,0.0,0.0,0.0,0.0
20200106:0600,0.0,0.0,0.0,0.0
20200106:0630,0.0,0.0,0.0,0.0
20200106:0700,0.0,0.0,0.0,0.0
20200106:0730,0.0,0.0,0.0,0.0
20200106:0800,0.0,0.0,0.0,0.0
20200106:0830,0.0,0.0,0.0,0.0
20200106:0900,7.4,7.4,0.0,0.0
20200106:0930,28.5,28.5,0.0,0.0
20200106:1000,15.2,15.2,0.0,0.0
20200106:1030,24.3,24.3,0.0,0.0
20200106:1100,34.8,34.8,0.0,0.1
20200106:1130,112.4,83.2,29.2,140.8
20200106:1200,153.7,96.1,57.6,270.5
20200106:1230,94.7,82.2,12.5,58.2
