Latitude (decimal degrees):	54.3449
Longitude (decimal degrees):	-7.6415
Radiation database:	CAMS
Representative town:	Enniskillen

time,GHI,DHI,BHI,BNI
20240101:0000,0.0,0.0,0.0,0.0
20240101:0030,0.0,0.0,0.0,0.0
20240101:0100,0.0,0.0,0.0,0.0
20240101:0130,0.0,0.0,0.0,0.0
20240101:0200,0.0,0.0,0.0,0.0
20240101:0230,0.0,0.0,0.0,0.0
20240101:0300,0.0,0.0,0.0,0.0
20240101:0330,0.0,0.0,0.0,0.0
20240101:0400,0.0,0.0,0.0,0.0
20240101:0430,0.0,0.0,0.0,0.0
20240101:0500,0.0,0.0,0.0,0.0
20240101:0530,0.0,0.0,0.0,0.0
20240101:0600,0.0,0.0,0.0,0.0
20240101:0630,0.0,0.0,0.0,0.0
20240101:0700,0.0,0.0,0.0,0.0
20240101:0730,0.0,0.0,0.0,0.0
20240101:0800,0.0,0.0,0.0,0.0
20240101:0830,0.0,0.0,0.0,0.0
20240101:0900,13.8,11.0,2.7,63.4
20240101:0930,51.2,29.0,22.2,271.6
20240101:1000,92.7,42.0,50.7,409.7
20240101:1030,113.6,65.6,48.0,311.6
20240101:1100,104.1,101.2,2.9,15.0
20240101:1130,116.6,113.3,3.3,15.9
20240101:1200,84.1,83.0,1.1,5.0
20240101:1230,95.3,94.4,0.9,4.0
20240101:1300,78.7,74.3,4.4,21.0
20240101:1330,61.9,61.8,0.1,0.6
20240101:1400,42.3,42.3,0.0,0.0
20240101:1430,38.5,38.5,0.0,0.4
20240101:1500,19.1,19.1,0.0,0.1
20240101:1530,8.6,8.6,0.0,0.0
20240101:1600,0.3,0.3,0.0,0.0
20240101:1630,0.0,0.0,0.0,0.0
20240101:1700,0.0,0.0,0.0,0.0
20240101:1730,0.0,0.0,0.0,0.0
20240101:1800,0.0,0.0,0.0,0.0
20240101:1830,0.0,0.0,0.0,0.0
20240101:1900,0.0,0.0,0.0,0.0
20240101:1930,0.0,0.0,0.0,0.0
20240101:2000,0.0,0.0,0.0,0.0
20240101:2030,0.0,0.0,0.0,0.0
20240101:2100,0.0,0.0,0.0,0.0
20240101:2130,0.0,0.0,0.0,0.0
20240101:2200,0.0,0.0,0.0,0.0
20240101:2230,0.0,0.0,0.0,0.0
20240101:2300,0.0,0.0,0.0,0.0
20240101:2330,0.0,0.0,0.0,0.0
20240102:0000,0.0,0.0,0.0,0.0
20240102:0030,0.0,0.0,0.0,0.0
20240102:0100,0.0,0.0,0.0,0.0
20240102:0130,0.0,0.0,0.0,0.0
20240102:0200,0.0,0.0,0.0,0.0
20240102:0230,0.0,0.0,0.0,0.0
20240102:0300,0.0,0.0,0.0,0.0
20240102:0330,0.0,0.0,0.0,0.0
20240102:0400,0.0,0.0,0.0,0.0
20240102:0430,0.0,0.0,0.0,0.0
20240102:0500,0.0,0.0,0.0,0.0
20240102:0530,0.0,0.0,0.0,0.0
20240102:0600,0.0,0.0,0.0,0.0
20240102:0630,0.0,0.0,0.0,0.0
20240102:0700,0.0,0.0,0.0,0.0
20240102:0730,0.0,0.0,0.0,0.0
20240102:0800,0.0,0.0,0.0,0.0
20240102:0830,0.0,0.0,0.0,0.0
20240102:0900,9.0,9.0,0.0,0.0
20240102:0930,33.2,33.2,0.0,0.3
20240102:1000,18.5,18.5,0.0,0.1
20240102:1030,57.3,56.3,1.1,6.5
20240102:1100,91.5,87.3,4.2,22.6
20240102:1130,82.4,81.5,0.9,4.3
20240102:1200,69.2,68.8,0.4,1.9
20240102:1230,61.0,61.0,0.0,0.1
20240102:1300,84.0,83.6,0.5,2.1
20240102:1330,56.8,56.8,0.0,0.0
20240102:1400,25.2,25.2,0.0,0.0
20240102:1430,17.6,16.9,0.7,5.6
20240102:1500,45.3,26.9,18.3,185.0
20240102:1530,13.4,13.4,0.0,0.0
20240102:1600,0.6,0.6,0.0,0.0
20240102:1630,0.0,0.0,0.0,0.0
20240102:1700,0.0,0.0,0.0,0.0
20240102:1730,0.0,0.0,0.0,0.0
20240102:1800,0.0,0.0,0.0,0.0
20240102:1830,0.0,0.0,0.0,0.0
20240102:1900,0.0,0.0,0.0,0.0
20240102:1930,0.0,0.0,0.0,0.0
20240102:2000,0.0,0.0,0.0,0.0
20240102:2030,0.0,0.0,0.0,0.0
20240102:2100,0.0,0.0,0.0,0.0
20240102:2130,0.0,0.0,0.0,0.0
20240102:2200,0.0,0.0,0.0,0.0
20240102:2230,0.0,0.0,0.0,0.0
20240102:2300,0.0,0.0,0.0,0.0
20240102:2330,0.0,0.0,0.0,0.0
20240103:0000,0.0,0.0,0.0,0.0
20240103:0030,0.0,0.0,0.0,0.0
20240103:0100,0.0,0.0,0.0,0.0
20240103:0130,0.0,0.0,0.0,0.0
20240103:0200,0.0,0.0,0.0,0.0
20240103:0230,0.0,0.0,0.0,0.0
20240103:0300,0.0,0.0,0.0,0.0
