Latitude (decimal degrees):	53.2707
Longitude (decimal degrees):	-9.0568
Radiation database:	CAMS
Representative town:	Galway

time,GHI,DHI,BHI,BNI
20250101:0000,0.0,0.0,0.0,0.0
20250101:0030,0.0,0.0,0.0,0.0
20250101:0100,0.0,0.0,0.0,0.0
20250101:0130,0.0,0.0,0.0,0.0
20250101:0200,0.0,0.0,0.0,0.0
20250101:0230,0.0,0.0,0.0,0.0
20250101:0300,0.0,0.0,0.0,0.0
20250101:0330,0.0,0.0,0.0,0.0
20250101:0400,0.0,0.0,0.0,0.0
20250101:0430,0.0,0.0,0.0,0.0
20250101:0500,0.0,0.0,0.0,0.0
20250101:0530,0.0,0.0,0.0,0.0
20250101:0600,0.0,0.0,0.0,0.0
20250101:0630,0.0,0.0,0.0,0.0
20250101:0700,0.0,0.0,0.0,0.0
20250101:0730,0.0,0.0,0.0,0.0
20250101:0800,0.0,0.0,0.0,0.0
20250101:0830,0.0,0.0,0.0,0.0
20250101:0900,10.2,10.2,0.0,0.1
20250101:0930,36.0,35.4,0.7,6.4
20250101:1000,99.6,38.8,60.7,451.6
20250101:1030,145.3,44.0,101.3,595.5
20250101:1100,168.2,67.7,100.4,499.3
20250101:1130,185.8,77.7,108.0,490.7
20250101:1200,168.2,124.8,43.4,185.3
20250101:1230,175.2,120.4,54.8,230.9
20250101:1300,209.9,59.8,150.1,650.0
20250101:1330,197.8,49.0,148.8,689.8
20250101:1400,144.0,60.8,83.2,424.4
20250101:1430,70.0,64.4,5.7,38.6
20250101:1500,87.0,35.9,51.1,444.3
20250101:1530,45.0,20.2,24.8,350.3
20250101:1600,7.3,5.0,2.4,64.8
20250101:1630,0.0,0.0,0.0,0.0
20250101:1700,0.0,0.0,0.0,0.0
20250101:1730,0.0,0.0,0.0,0.0
20250101:1800,0.0,0.0,0.0,0.0
20250101:1830,0.0,0.0,0.0,0.0
20250101:1900,0.0,0.0,0.0,0.0
20250101:1930,0.0,0.0,0.0,0.0
20250101:2000,0.0,0.0,0.0,0.0
20250101:2030,0.0,0.0,0.0,0.0
20250101:2100,0.0,0.0,0.0,0.0
20250101:2130,0.0,0.0,0.0,0.0
20250101:2200,0.0,0.0,0.0,0.0
20250101:2230,0.0,0.0,0.0,0.0
20250101:2300,0.0,0.0,0.0,0.0
20250101:2330,0.0,0.0,0.0,0.0
20250102:0000,0.0,0.0,0.0,0.0
20250102:0030,0.0,0.0,0.0,0.0
20250102:0100,0.0,0.0,0.0,0.0
20250102:0130,0.0,0.0,0.0,0.0
20250102:0200,0.0,0.0,0.0,0.0
20250102:0230,0.0,0.0,0.0,0.0
20250102:0300,0.0,0.0,0.0,0.0
20250102:0330,0.0,0.0,0.0,0.0
20250102:0400,0.0,0.0,0.0,0.0
20250102:0430,0.0,0.0,0.0,0.0
20250102:0500,0.0,0.0,0.0,0.0
20250102:0530,0.0,0.0,0.0,0.0
20250102:0600,0.0,0.0,0.0,0.0
20250102:0630,0.0,0.0,0.0,0.0
20250102:0700,0.0,0.0,0.0,0.0
20250102:0730,0.0,0.0,0.0,0.0
20250102:0800,0.0,0.0,0.0,0.0
20250102:0830,0.0,0.0,0.0,0.0
20250102:0900,17.2,11.4,5.8,128.9
20250102:0930,60.2,27.4,32.8,374.6
20250102:1000,106.6,38.5,68.1,513.6
20250102:1030,120.5,72.5,48.0,285.5
20250102:1100,135.7,92.4,43.3,211.4
20250102:1130,190.2,62.4,127.8,572.6
20250102:1200,219.8,56.9,162.8,690.2
20250102:1230,227.5,54.8,172.7,722.4
20250102:1300,213.9,57.5,156.3,670.3
20250102:1330,200.1,52.9,147.3,677.2
20250102:1400,174.9,47.6,127.3,658.7
20250102:1430,138.0,42.2,95.9,597.6
20250102:1500,94.0,34.2,59.7,498.7
20250102:1530,46.9,22.6,24.4,333.6
20250102:1600,8.2,5.9,2.3,65.5
20250102:1630,0.0,0.0,0.0,0.0
20250102:1700,0.0,0.0,0.0,0.0
20250102:1730,0.0,0.0,0.0,0.0
20250102:1800,0.0,0.0,0.0,0.0
20250102:1830,0.0,0.0,0.0,0.0
20250102:1900,0.0,0.0,0.0,0.0
20250102:1930,0.0,0.0,0.0,0.0
20250102:2000,0.0,0.0,0.0,0.0
20250102:2030,0.0,0.0,0.0,0.0
20250102:2100,0.0,0.0,0.0,0.0
20250102:2130,0.0,0.0,0.0,0.0
20250102:2200,0.0,0.0,0.0,0.0
20250102:2230,0.0,0.0,0.0,0.0
20250102:2300,0.0,0.0,0.0,0.0
20250102:2330,0.0,0.0,0.0,0.0
20250103:0000,0.0,0.0,0.0,0.0
20250103:0030,0.0,0.0,0.0,0.0
20250103:0100,0.0,0.0,0.0,0.0
20250103:0130,0.0,0.0,0.0,0.0
20250103:0200,0.0,0.0,0.0,0.0
20250103:0230,0.0,0.0,0.0,0.0
20250103:0300,0.0,0.0,0.0,0.0
20250103:0330,0.0,0.0,0.0,0.0
20250103:0400,0.0,0.0,0.0,0.0
20250103:0430,0.0,0.0,0.0,0.0
20250103:0500,0.0,0.0,0.0,0.0
20250103:0530,0.0,0.0,0.0,0.0
20250103:0600,0.0,0.0,0.0,0.0
20250103:0630,0.0,0.0,0.0,0.0
20250103:0700,0.0,0.0,0.0,0.0
20250103:0730,0.0,0.0,0.0,0.0
20250103:0800,0.0,0.0,0.0,0.0
20250103:0830,0.0,0.0,0.0,0.0
20250103:0900,2.3,2.3,0.0,0.0
20250103:0930,8.9,8.2,0.7,6.0
20250103:1000,95.7,35.1,60.5,444.0
20250103:1030,149.5,45.6,103.9,603.3
20250103:1100,184.1,50.1,134.1,661.2
20250103:1130,209.4,52.8,156.6,697.3
20250103:1200,224.4,54.1,170.3,717.3
20250103:1230,228.6,54.2,174.4,724.1
20250103:1300,221.7,53.1,168.6,718.0
20250103:1330,204.2,50.9,153.3,698.2
20250103:1400,176.5,47.3,129.2,661.6
20250103:1430,139.8,41.9,97.9,602.0
20250103:1500,95.9,34.3,61.6,504.6
20250103:1530,48.8,23.0,25.8,342.2
20250103:1600,9.3,6.5,2.8,74.0
20250103:1630,0.0,0.0,0.0,0.0
20250103:1700,0.0,0.0,0.0,0.0
20250103:1730,0.0,0.0,0.0,0.0
20250103:1800,0.0,0.0,0.0,0.0
20250103:1830,0.0,0.0,0.0,0.0
20250103:1900,0.0,0.0,0.0,0.0
20250103:1930,0.0,0.0,0.0,0.0
20250103:2000,0.0,0.0,0.0,0.0
20250103:2030,0.0,0.0,0.0,0.0
20250103:2100,0.0,0.0,0.0,0.0
20250103:2130,0.0,0.0,0.0,0.0
20250103:2200,0.0,0.0,0.0,0.0
20250103:2230,0.0,0.0,0.0,0.0
20250103:2300,0.0,0.0,0.0,0.0
20250103:2330,0.0,0.0,0.0,0.0
20250104:0000,0.0,0.0,0.0,0.0
20250104:0030,0.0,0.0,0.0,0.0
20250104:0100,0.0,0.0,0.0,0.0
20250104:0130,0.0,0.0,0.0,0.0
20250104:0200,0.0,0.0,0.0,0.0
20250104:0230,0.0,0.0,0.0,0.0
20250104:0300,0.0,0.0,0.0,0.0
20250104:0330,0.0,0.0,0.0,0.0
20250104:0400,0.0,0.0,0.0,0.0
20250104:0430,0.0,0.0,0.0,0.0
20250104:0500,0.0,0.0,0.0,0.0
20250104:0530,0.0,0.0,0.0,0.0
20250104:0600,0.0,0.0,0.0,0.0
20250104:0630,0.0,0.0,0.0,0.0
20250104:0700,0.0,0.0,0.0,0.0
