Latitude (decimal degrees):	53.9468
Longitude (decimal degrees):	-8.0898
Radiation database:	CAMS
Representative town:	Carrick-on-Shannon

time,GHI,DHI,BHI,BNI
20200101:0000,0.0,0.0,0.0,0.0
20200101:0030,0.0,0.0,0.0,0.0
20200101:0100,0.0,0.0,0.0,0.0
20200101:0130,0.0,0.0,0.0,0.0
20200101:0200,0.0,0.0,0.0,0.0
20200101:0230,0.0,0.0,0.0,0.0
20200101:0300,0.0,0.0,0.0,0.0
20200101:0330,0.0,0.0,0.0,0.0
20200101:0400,0.0,0.0,0.0,0.0
20200101:0430,0.0,0.0,0.0,0.0
20200101:0500,0.0,0.0,0.0,0.0
20200101:0530,0.0,0.0,0.0,0.0
20200101:0600,0.0,0.0,0.0,0.0
20200101:0630,0.0,0.0,0.0,0.0
20200101:0700,0.0,0.0,0.0,0.0
20200101:0730,0.0,0.0,0.0,0.0
20200101:0800,0.0,0.0,0.0,0.0
20200101:0830,0.0,0.0,0.0,0.0
20200101:0900,6.9,6.9,0.0,0.0
20200101:0930,24.8,24.8,0.0,0.0
20200101:1000,49.8,49.8,0.0,0.0
20200101:1030,47.7,47.7,0.0,0.0
20200101:1100,80.8,80.5,0.3,1.6
20200101:1130,28.8,28.8,0.0,0.1
20200101:1200,33.4,33.4,0.0,0.0
20200101:1230,25.1,25.1,0.0,0.0
20200101:1300,66.3,65.5,0.7,3.4
20200101:1330,112.1,103.8,8.3,42.2
20200101:1400,112.1,87.3,24.8,140.7
20200101:1430,86.5,66.3,20.2,148.3
20200101:1500,61.0,37.7,23.3,230.1
20200101:1530,24.3,19.2,5.1,87.3
20200101:1600,1.8,1.8,0.0,1.0
20200101:1630,0.0,0.0,0.0,0.0
20200101:1700,0.0,0.0,0.0,0.0
20200101:1730,0.0,0.0,0.0,0.0
20200101:1800,0.0,0.0,0.0,0.0
20200101:1830,0.0,0.0,0.0,0.0
20200101:1900,0.0,0.0,0.0,0.0
20200101:1930,0.0,0.0,0.0,0.0
20200101:2000,0.0,0.0,0.0,0.0
20200101:2030,0.0,0.0,0.0,0.0
20200101:2100,0.0,0.0,0.0,0.0
20200101:2130,0.0,0.0,0.0,0.0
20200101:2200,0.0,0.0,0.0,0.0
20200101:2230,0.0,0.0,0.0,0.0
20200101:2300,0.0,0.0,0.0,0.0
20200101:2330,0.0,0.0,0.0,0.0
20200102:0000,0.0,0.0,0.0,0.0
20200102:0030,0.0,0.0,0.0,0.0
20200102:0100,0.0,0.0,0.0,0.0
20200102:0130,0.0,0.0,0.0,0.0
20200102:0200,0.0,0.0,0.0,0.0
20200102:0230,0.0,0.0,0.0,0.0
20200102:0300,0.0,0.0,0.0,0.0
20200102:0330,0.0,0.0,0.0,0.0
20200102:0400,0.0,0.0,0.0,0.0
20200102:0430,0.0,0.0,0.0,0.0
20200102:0500,0.0,0.0,0.0,0.0
20200102:0530,0.0,0.0,0.0,0.0
20200102:0600,0.0,0.0,0.0,0.0
20200102:0630,0.0,0.0,0.0,0.0
20200102:0700,0.0,0.0,0.0,0.0
20200102:0730,0.0,0.0,0.0,0.0
20200102:0800,0.0,0.0,0.0,0.0
20200102:0830,0.0,0.0,0.0,0.0
20200102:0900,1.8,1.8,0.0,0.0
20200102:0930,6.8,6.8,0.0,0.1
20200102:1000,39.4,39.0,0.4,3.0
20200102:1030,67.5,67.2,0.3,1.6
20200102:1100,93.8,90.7,3.1,15.6
20200102:1130,131.3,89.4,41.9,197.7
20200102:1200,120.6,88.5,32.0,141.8
20200102:1230,129.2,109.3,19.9,87.9
20200102:1300,74.5,74.3,0.3,1.2
20200102:1330,81.8,79.7,2.1,10.5
20200102:1400,36.6,36.6,0.0,0.0
20200102:1430,17.5,17.5,0.0,0.0
20200102:1500,29.4,28.4,1.0,10.9
20200102:1530,22.9,22.5,0.5,8.0
20200102:1600,2.1,2.0,0.1,1.7
20200102:1630,0.0,0.0,0.0,0.0
20200102:1700,0.0,0.0,0.0,0.0
20200102:1730,0.0,0.0,0.0,0.0
20200102:1800,0.0,0.0,0.0,0.0
20200102:1830,0.0,0.0,0.0,0.0
20200102:1900,0.0,0.0,0.0,0.0
20200102:1930,0.0,0.0,0.0,0.0
20200102:2000,0.0,0.0,0.0,0.0
20200102:2030,0.0,0.0,0.0,0.0
20200102:2100,0.0,0.0,0.0,0.0
20200102:2130,0.0,0.0,0.0,0.0
20200102:2200,0.0,0.0,0.0,0.0
20200102:2230,0.0,0.0,0.0,0.0
20200102:2300,0.0,0.0,0.0,0.0
20200102:2330,0.0,0.0,0.0,0.0
20200103:0000,0.0,0.0,0.0,0.0
20200103:0030,0.0,0.0,0.0,0.0
20200103:0100,0.0,0.0,0.0,0.0
20200103:0130,0.0,0.0,0.0,0.0
20200103:0200,0.0,0.0,0.0,0.0
20200103:0230,0.0,0.0,0.0,0.0
20200103:0300,0.0,0.0,0.0,0.0
20200103:0330,0.0,0.0,0.0,0.0
20200103:0400,0.0,0.0,0.0,0.0
20200103:0430,0.0,0.0,0.0,0.0
20200103:0500,0.0,0.0,0.0,0.0
20200103:0530,0.0,0.0,0.0,0.0
20200103:0600,0.0,0.0,0.0,0.0
20200103:0630,0.0,0.0,0.0,0.0
20200103:0700,0.0,0.0,0.0,0.0
20200103:0730,0.0,0.0,0.0,0.0
20200103:0800,0.0,0.0,0.0,0.0
20200103:0830,0.0,0.0,0.0,0.0
20200103:0900,14.5,12.6,1.9,41.1
20200103:0930,52.1,33.2,18.9,218.9
20200103:1000,94.7,47.6,47.1,365.4
20200103:1030,133.8,56.8,77.0,465.6
20200103:1100,153.4,67.9,85.5,439.0
20200103:1130,166.8,75.2,91.6,428.3
20200103:1200,169.9,85.9,84.0,373.0
20200103:1230,171.8,84.3,87.5,384.2
20200103:1300,187.3,68.6,118.7,538.4
20200103:1330,163.9,70.8,93.1,452.1
20200103:1400,70.9,63.1,7.8,41.2
20200103:1430,78.9,57.7,21.2,156.0
20200103:1500,71.1,39.3,31.7,300.0
20200103:1530,30.0,21.9,8.0,129.4
20200103:1600,2.9,2.8,0.1,2.3
20200103:1630,0.0,0.0,0.0,0.0
20200103:1700,0.0,0.0,0.0,0.0
20200103:1730,0.0,0.0,0.0,0.0
20200103:1800,0.0,0.0,0.0,0.0
20200103:1830,0.0,0.0,0.0,0.0
20200103:1900,0.0,0.0,0.0,0.0
20200103:1930,0.0,0.0,0.0,0.0
20200103:2000,0.0,0.0,0.0,0.0
20200103:2030,0.0,0.0,0.0,0.0
20200103:2100,0.0,0.0,0.0,0.0
20200103:2130,0.0,0.0,0.0,0.0
20200103:2200,0.0,0.0,0.0,0.0
20200103:2230,0.0,0.0,0.0,0.0
20200103:2300,0.0,0.0,0.0,0.0
20200103:2330,0.0,0.0,0.0,0.0
20200104:0000,0.0,0.0,0.0,0.0
20200104:0030,0.0,0.0,0.0,0.0
20200104:0100,0.0,0.0,0.0,0.0
20200104:0130,0.0,0.0,0.0,0.0
20200104:0200,0.0,0.0,0.0,0.0
20200104:0230,0.0,0.0,0.0,0.0
20200104:0300,0.0,0.0,0.0,0.0
20200104:0330,0.0,0.0,0.0,0.0
20200104:0400,0.0,0.0,0.0,0.0
20200104:0430,0.0,0.0,0.0,0.0
20200104:0500,0.0,0.0,0.0,0.0
20200104:0530,0.0,0.0,0.0,0.0
20200104:0600,0.0,0.0,0.0,0.0
20200104:0630,0.0,0.0,0.0,0.0
20200104:0700,0.0,0.0,0.0,0.0
20200104:0730,0.0,0.0,0.0,0.0
20200104:0800,0.0,0.0,0.0,0.0
20200104:0830,0.0,0.0,0.0,0.0
20200104:0900,7.7,7.7,0.0,0.0
20200104:0930,27.1,27.1,0.0,0.0
20200104:1000,61.3,61.1,0.2,1.6
20200104:1030,79.7,78.7,1.0,5.8
20200104:1100,72.3,71.5,0.8,4.3
20200104:1130,61.2,60.6,0.7,3.0
20200104:1200,95.0,92.5,2.5,11.0
20200104:1230,23.8,23.8,0.0,0.0
20200104:1300,51.4,51.3,0.1,0.4
20200104:1330,68.3,68.1,0.1,0.7
20200104:1400,93.0,92.3,0.7,3.9
20200104:1430,68.0,67.8,0.1,0.7
20200104:1500,50.6,50.6,0.0,0.5
20200104:1530,24.1,24.1,0.0,0.4
20200104:1600,2.7,2.7,0.0,0.0
20200104:1630,0.0,0.0,0.0,0.0
20200104:1700,0.0,0.0,0.0,0.0
20200104:1730,0.0,0.0,0.0,0.0
20200104:1800,0.0,0.0,0.0,0.0
20200104:1830,0.0,0.0,0.0,0.0
20200104:1900,0.0,0.0,0.0,0.0
20200104:1930,0.0,0.0,0.0,0.0
20200104:2000,0.0,0.0,0.0,0.0
20200104:2030,0.0,0.0,0.0,0.0
20200104:2100,0.0,0.0,0.0,0.0
20200104:2130,0.0,0.0,0.0,0.0
20200104:2200,0.0,0.0,0.0,0.0
20200104:2230,0.0,0.0,0.0,0.0
20200104:2300,0.0,0.0,0.0,0.0
20200104:2330,0.0,0.0,0.0,0.0
20200105:0000,0.0,0.0,0.0,0.0
20200105:0030,0.0,0.0,0.0,0.0
20200105:0100,0.0,0.0,0.0,0.0
20200105:0130,0.0,0.0,0.0,0.0
20200105:0200,0.0,0.0,0.0,0.0
20200105:0230,0.0,0.0,0.0,0.0
20200105:0300,0.0,0.0,0.0,0.0
20200105:0330,0.0,0.0,0.0,0.0
20200105:0400,0.0,0.0,0.0,0.0
20200105:0430,0.0,0.0,0.0,0.0
20200105:0500,0.0,0.0,0.0,0.0
20200105:0530,0.0,0.0,0.0,0.0
20200105:0600,0.0,0.0,0.0,0.0
20200105:0630,0.0,0.0,0.0,0.0
20200105:0700,0.0,0.0,0.0,0.0
20200105:0730,0.0,0.0,0.0,0.0
20200105:0800,0.0,0.0,0.0,0.0
20200105:0830,0.0,0.0,0.0,0.0
20200105:0900,2.1,2.1,0.0,0.0
20200105:0930,7.1,7.1,0.0,0.0
20200105:1000,11.3,11.3,0.0,0.0
20200105:1030,13.9,13.9,0.0,0.0
20200105:1100,16.1,16.1,0.0,0.0
20200105:1130,17.5,17.5,0.0,0.0
20200105:1200,19.0,19.0,0.0,0.0
20200105:1230,21.9,21.9,0.0,0.0
20200105:1300,36.1,36.1,0.0,0.0
20200105:1330,24.0,24.0,0.0,0.0
20200105:1400,14.7,14.7,0.0,0.0
20200105:1430,12.0,12.0,0.0,0.0
20200105:1500,8.9,8.9,0.0,0.0
20200105:1530,4.3,4.3,0.0,0.0
20200105:1600,0.5,0.5,0.0,0.0
20200105:1630,0.0,0.0,0.0,0.0
20200105:1700,0.0,0.0,0.0,0.0
20200105:1730,0.0,0.0,0.0,0.0
20200105:1800,0.0,0.0,0.0,0.0
20200105:1830,0.0,0.0,0.0,0.0
20200105:1900,0.0,0.0,0.0,0.0
20200105:1930,0.0,0.0,0.0,0.0
20200105:2000,0.0,0.0,0.0,0.0
20200105:2030,0.0,0.0,0.0,0.0
20200105:2100,0.0,0.0,0.0,0.0
20200105:2130,0.0,0.0,0.0,0.0
20200105:2200,0.0,0.0,0.0,0.0
20200105:2230,0.0,0.0,0.0,0.0
20200105:2300,0.0,0.0,0.0,0.0
20200105:2330,0.0,0.0,0.0,0.0
20200106:0000,0.0,0.0,0.0,0.0
20200106:0030,0.0,0.0,0.0,0.0
20200106:0100,0.0,0.0,0.0,0.0
20200106:0130,0.0,0.0,0.0,0.0
20200106:0200,0.0,0.0,0.0,0.0
20200106:0230,0.0,0.0,0.0,0.0
20200106:0300,0.0,0.0,0.0,0.0
20200106:0330,0.0,0.0,0.0,0.0
20200106:0400,0.0,0.0,0.0,0.0
20200106:0430,0.0,0.0,0.0,0.0
20200106:0500,0.0,0.0,0.0,0.0
20200106:0530,0.0,0.0,0.0,0.0
20200106:0600,0.0,0.0,0.0,0.0
20200106:0630,0.0,0.0,0.0,0.0
20200106:0700,0.0,0.0,0.0,0.0
20200106:0730,0.0,0.0,0.0,0.0
20200106:0800,0.0,0.0,0.0,0.0
20200106:0830,0.0,0.0,0.0,0.0
20200106:0900,2.0,2.0,0.0,0.0
20200106:0930,7.1,7.1,0.0,0.0
20200106:1000,60.4,47.0,13.4,93.7
20200106:1030,127.4,73.9,53.5,315.8
20200106:1100,159.4,83.9,75.5,380.3
20200106:1130,183.1,90.2,92.9,423.7
20200106:1200,196.6,93.1,103.6,448.7
20200106:1230,162.5,103.8,58.6,251.2
