Latitude (decimal degrees):	54.0037
Longitude (decimal degrees):	-6.4181
Radiation database:	CAMS
Representative town:	Dundalk

time,GHI,DHI,BHI,BNI
20240101:0000,0.0,0.0,0.0,0.0
20240101:0030,0.0,0.0,0.0,0.0
20240101:0100,0.0,0.0,0.0,0.0
20240101:0130,0.0,0.0,0.0,0.0
20240101:0200,0.0,0.0,0.0,0.0
20240101:0230,0.0,0.0,0.0,0.0
20240101:0300,0.0,0.0,0.0,0.0
20240101:0330,0.0,0.0,0.0,0.0
20240101:0400,0.0,0.0,0.0,0.0
20240101:0430,0.0,0.0,0.0,0.0
20240101:0500,0.0,0.0,0.0,0.0
20240101:0530,0.0,0.0,0.0,0.0
20240101:0600,0.0,0.0,0.0,0.0
20240101:0630,0.0,0.0,0.0,0.0
20240101:0700,0.0,0.0,0.0,0.0
20240101:0730,0.0,0.0,0.0,0.0
20240101:0800,0.0,0.0,0.0,0.0
20240101:0830,0.7,0.7,0.0,0.0
20240101:0900,22.9,14.7,8.2,164.3
20240101:0930,64.7,29.5,35.1,377.1
20240101:1000,106.7,40.0,66.7,494.9
20240101:1030,100.5,80.2,20.3,123.5
20240101:1100,64.2,60.9,3.3,17.5
20240101:1130,35.4,35.4,0.0,0.0
20240101:1200,43.1,43.1,0.0,0.1
20240101:1230,101.7,101.2,0.5,2.2
20240101:1300,99.1,98.7,0.4,1.8
20240101:1330,58.0,57.2,0.8,4.3
20240101:1400,69.0,68.7,0.4,2.0
20240101:1430,20.4,20.4,0.0,0.1
20240101:1500,17.9,17.9,0.0,0.0
20240101:1530,6.6,6.6,0.0,0.0
20240101:1600,0.1,0.1,0.0,0.0
20240101:1630,0.0,0.0,0.0,0.0
20240101:1700,0.0,0.0,0.0,0.0
20240101:1730,0.0,0.0,0.0,0.0
20240101:1800,0.0,0.0,0.0,0.0
20240101:1830,0.0,0.0,0.0,0.0
20240101:1900,0.0,0.0,0.0,0.0
20240101:1930,0.0,0.0,0.0,0.0
20240101:2000,0.0,0.0,0.0,0.0
20240101:2030,0.0,0.0,0.0,0.0
20240101:2100,0.0,0.0,0.0,0.0
20240101:2130,0.0,0.0,0.0,0.0
20240101:2200,0.0,0.0,0.0,0.0
20240101:2230,0.0,0.0,0.0,0.0
20240101:2300,0.0,0.0,0.0,0.0
20240101:2330,0.0,0.0,0.0,0.0
20240102:0000,0.0,0.0,0.0,0.0
20240102:0030,0.0,0.0,0.0,0.0
20240102:0100,0.0,0.0,0.0,0.0
20240102:0130,0.0,0.0,0.0,0.0
20240102:0200,0.0,0.0,0.0,0.0
20240102:0230,0.0,0.0,0.0,0.0
20240102:0300,0.0,0.0,0.0,0.0
20240102:0330,0.0,0.0,0.0,0.0
20240102:0400,0.0,0.0,0.0,0.0
20240102:0430,0.0,0.0,0.0,0.0
20240102:0500,0.0,0.0,0.0,0.0
20240102:0530,0.0,0.0,0.0,0.0
20240102:0600,0.0,0.0,0.0,0.0
20240102:0630,0.0,0.0,0.0,0.0
20240102:0700,0.0,0.0,0.0,0.0
20240102:0730,0.0,0.0,0.0,0.0
20240102:0800,0.0,0.0,0.0,0.0
20240102:0830,0.1,0.1,0.0,0.0
20240102:0900,2.7,2.7,0.0,0.0
20240102:0930,8.2,8.2,0.0,0.0
20240102:1000,42.8,42.8,0.0,0.1
20240102:1030,66.6,66.1,0.6,3.5
20240102:1100,43.2,43.2,0.0,0.0
20240102:1130,102.3,97.0,5.3,24.0
20240102:1200,94.5,91.5,3.0,13.7
20240102:1230,65.1,64.7,0.3,1.5
20240102:1300,43.4,43.4,0.0,0.0
20240102:1330,45.0,45.0,0.0,0.0
20240102:1400,39.4,39.4,0.0,0.1
20240102:1430,28.4,28.4,0.0,0.0
20240102:1500,11.2,11.2,0.0,0.0
20240102:1530,5.2,5.2,0.0,0.0
20240102:1600,0.1,0.1,0.0,0.0
20240102:1630,0.0,0.0,0.0,0.0
20240102:1700,0.0,0.0,0.0,0.0
20240102:1730,0.0,0.0,0.0,0.0
20240102:1800,0.0,0.0,0.0,0.0
20240102:1830,0.0,0.0,0.0,0.0
20240102:1900,0.0,0.0,0.0,0.0
20240102:1930,0.0,0.0,0.0,0.0
20240102:2000,0.0,0.0,0.0,0.0
20240102:2030,0.0,0.0,0.0,0.0
20240102:2100,0.0,0.0,0.0,0.0
20240102:2130,0.0,0.0,0.0,0.0
20240102:2200,0.0,0.0,0.0,0.0
20240102:2230,0.0,0.0,0.0,0.0
20240102:2300,0.0,0.0,0.0,0.0
20240102:2330,0.0,0.0,0.0,0.0
20240103:0000,0.0,0.0,0.0,0.0
20240103:0030,0.0,0.0,0.0,0.0
20240103:0100,0.0,0.0,0.0,0.0
20240103:0130,0.0,0.0,0.0,0.0
20240103:0200,0.0,0.0,0.0,0.0
20240103:0230,0.0,0.0,0.0,0.0
20240103:0300,0.0,0.0,0.0,0.0
