Latitude (decimal degrees):	53.7611
Longitude (decimal degrees):	-9.2985
Radiation database:	CAMS
Representative town:	Castlebar

time,GHI,DHI,BHI,BNI
20250101:0000,0.0,0.0,0.0,0.0
20250101:0030,0.0,0.0,0.0,0.0
20250101:0100,0.0,0.0,0.0,0.0
20250101:0130,0.0,0.0,0.0,0.0
20250101:0200,0.0,0.0,0.0,0.0
20250101:0230,0.0,0.0,0.0,0.0
20250101:0300,0.0,0.0,0.0,0.0
20250101:0330,0.0,0.0,0.0,0.0
20250101:0400,0.0,0.0,0.0,0.0
20250101:0430,0.0,0.0,0.0,0.0
20250101:0500,0.0,0.0,0.0,0.0
20250101:0530,0.0,0.0,0.0,0.0
20250101:0600,0.0,0.0,0.0,0.0
20250101:0630,0.0,0.0,0.0,0.0
20250101:0700,0.0,0.0,0.0,0.0
20250101:0730,0.0,0.0,0.0,0.0
20250101:0800,0.0,0.0,0.0,0.0
20250101:0830,0.0,0.0,0.0,0.0
20250101:0900,12.2,8.3,3.9,95.8
20250101:0930,51.8,24.2,27.6,349.3
20250101:1000,89.3,43.3,46.0,382.3
20250101:1030,134.0,46.7,87.3,536.2
20250101:1100,171.0,47.8,123.2,642.9
20250101:1130,195.4,51.1,144.3,676.6
20250101:1200,209.4,53.1,156.2,691.7
20250101:1230,159.4,100.3,59.1,257.7
20250101:1300,196.3,60.4,135.9,609.9
20250101:1330,165.1,69.0,96.1,454.8
20250101:1400,139.6,63.1,76.5,421.5
20250101:1430,109.4,59.3,50.1,335.8
20250101:1500,86.2,30.7,55.5,494.1
20250101:1530,40.5,20.2,20.4,305.3
20250101:1600,5.6,4.3,1.3,38.2
20250101:1630,0.0,0.0,0.0,0.0
20250101:1700,0.0,0.0,0.0,0.0
20250101:1730,0.0,0.0,0.0,0.0
20250101:1800,0.0,0.0,0.0,0.0
20250101:1830,0.0,0.0,0.0,0.0
20250101:1900,0.0,0.0,0.0,0.0
20250101:1930,0.0,0.0,0.0,0.0
20250101:2000,0.0,0.0,0.0,0.0
20250101:2030,0.0,0.0,0.0,0.0
20250101:2100,0.0,0.0,0.0,0.0
20250101:2130,0.0,0.0,0.0,0.0
20250101:2200,0.0,0.0,0.0,0.0
20250101:2230,0.0,0.0,0.0,0.0
20250101:2300,0.0,0.0,0.0,0.0
20250101:2330,0.0,0.0,0.0,0.0
20250102:0000,0.0,0.0,0.0,0.0
20250102:0030,0.0,0.0,0.0,0.0
20250102:0100,0.0,0.0,0.0,0.0
20250102:0130,0.0,0.0,0.0,0.0
20250102:0200,0.0,0.0,0.0,0.0
20250102:0230,0.0,0.0,0.0,0.0
20250102:0300,0.0,0.0,0.0,0.0
20250102:0330,0.0,0.0,0.0,0.0
20250102:0400,0.0,0.0,0.0,0.0
20250102:0430,0.0,0.0,0.0,0.0
20250102:0500,0.0,0.0,0.0,0.0
20250102:0530,0.0,0.0,0.0,0.0
20250102:0600,0.0,0.0,0.0,0.0
20250102:0630,0.0,0.0,0.0,0.0
20250102:0700,0.0,0.0,0.0,0.0
20250102:0730,0.0,0.0,0.0,0.0
20250102:0800,0.0,0.0,0.0,0.0
20250102:0830,0.0,0.0,0.0,0.0
20250102:0900,6.9,6.9,0.0,0.0
20250102:0930,29.5,29.5,0.0,0.2
20250102:1000,63.9,58.5,5.4,39.5
20250102:1030,125.2,60.5,64.7,390.8
20250102:1100,150.4,71.1,79.3,413.4
20250102:1130,149.8,92.6,57.2,269.3
20250102:1200,171.4,88.4,83.1,364.2
20250102:1230,213.4,60.6,152.9,662.2
20250102:1300,198.1,65.8,132.3,586.4
20250102:1330,176.1,66.9,109.2,517.6
20250102:1400,127.7,84.4,43.4,229.4
20250102:1430,97.8,73.3,24.5,166.5
20250102:1500,86.3,36.1,50.2,442.4
20250102:1530,42.5,22.0,20.5,297.9
20250102:1600,6.5,5.0,1.5,45.1
20250102:1630,0.0,0.0,0.0,0.0
20250102:1700,0.0,0.0,0.0,0.0
20250102:1730,0.0,0.0,0.0,0.0
20250102:1800,0.0,0.0,0.0,0.0
20250102:1830,0.0,0.0,0.0,0.0
20250102:1900,0.0,0.0,0.0,0.0
20250102:1930,0.0,0.0,0.0,0.0
20250102:2000,0.0,0.0,0.0,0.0
20250102:2030,0.0,0.0,0.0,0.0
20250102:2100,0.0,0.0,0.0,0.0
20250102:2130,0.0,0.0,0.0,0.0
20250102:2200,0.0,0.0,0.0,0.0
20250102:2230,0.0,0.0,0.0,0.0
20250102:2300,0.0,0.0,0.0,0.0
20250102:2330,0.0,0.0,0.0,0.0
20250103:0000,0.0,0.0,0.0,0.0
20250103:0030,0.0,0.0,0.0,0.0
20250103:0100,0.0,0.0,0.0,0.0
20250103:0130,0.0,0.0,0.0,0.0
20250103:0200,0.0,0.0,0.0,0.0
20250103:0230,0.0,0.0,0.0,0.0
20250103:0300,0.0,0.0,0.0,0.0
20250103:0330,0.0,0.0,0.0,0.0
20250103:0400,0.0,0.0,0.0,0.0
20250103:0430,0.0,0.0,0.0,0.0
20250103:0500,0.0,0.0,0.0,0.0
20250103:0530,0.0,0.0,0.0,0.0
20250103:0600,0.0,0.0,0.0,0.0
20250103:0630,0.0,0.0,0.0,0.0
20250103:0700,0.0,0.0,0.0,0.0
20250103:0730,0.0,0.0,0.0,0.0
20250103:0800,0.0,0.0,0.0,0.0
20250103:0830,0.0,0.0,0.0,0.0
20250103:0900,1.8,1.8,0.0,0.0
20250103:0930,8.4,7.9,0.5,5.1
20250103:1000,87.5,36.1,51.4,401.4
20250103:1030,128.9,55.4,73.5,455.5
20250103:1100,134.8,85.5,49.3,255.4
20250103:1130,171.3,79.0,92.3,424.0
20250103:1200,198.6,69.4,129.2,566.0
20250103:1230,192.1,77.7,114.4,492.3
20250103:1300,212.6,56.6,156.0,687.5
20250103:1330,195.4,54.5,140.9,664.1
20250103:1400,168.2,50.8,117.4,622.7
20250103:1430,131.8,45.5,86.3,551.2
20250103:1500,79.5,47.6,31.9,279.2
20250103:1530,43.7,23.7,20.0,280.8
20250103:1600,7.3,5.8,1.5,42.0
20250103:1630,0.0,0.0,0.0,0.0
20250103:1700,0.0,0.0,0.0,0.0
20250103:1730,0.0,0.0,0.0,0.0
20250103:1800,0.0,0.0,0.0,0.0
20250103:1830,0.0,0.0,0.0,0.0
20250103:1900,0.0,0.0,0.0,0.0
20250103:1930,0.0,0.0,0.0,0.0
20250103:2000,0.0,0.0,0.0,0.0
20250103:2030,0.0,0.0,0.0,0.0
20250103:2100,0.0,0.0,0.0,0.0
20250103:2130,0.0,0.0,0.0,0.0
20250103:2200,0.0,0.0,0.0,0.0
20250103:2230,0.0,0.0,0.0,0.0
20250103:2300,0.0,0.0,0.0,0.0
20250103:2330,0.0,0.0,0.0,0.0
20250104:0000,0.0,0.0,0.0,0.0
20250104:0030,0.0,0.0,0.0,0.0
20250104:0100,0.0,0.0,0.0,0.0
20250104:0130,0.0,0.0,0.0,0.0
20250104:0200,0.0,0.0,0.0,0.0
20250104:0230,0.0,0.0,0.0,0.0
20250104:0300,0.0,0.0,0.0,0.0
20250104:0330,0.0,0.0,0.0,0.0
20250104:0400,0.0,0.0,0.0,0.0
20250104:0430,0.0,0.0,0.0,0.0
20250104:0500,0.0,0.0,0.0,0.0
20250104:0530,0.0,0.0,0.0,0.0
20250104:0600,0.0,0.0,0.0,0.0
20250104:0630,0.0,0.0,0.0,0.0
20250104:0700,0.0,0.0,0.0,0.0
