Latitude (decimal degrees):	53.2743
Longitude (decimal degrees):	-7.4932
Radiation database:	CAMS
Representative town:	Tullamore

time,GHI,DHI,BHI,BNI
20220101:0000,0.0,0.0,0.0,0.0
20220101:0030,0.0,0.0,0.0,0.0
20220101:0100,0.0,0.0,0.0,0.0
20220101:0130,0.0,0.0,0.0,0.0
20220101:0200,0.0,0.0,0.0,0.0
20220101:0230,0.0,0.0,0.0,0.0
20220101:0300,0.0,0.0,0.0,0.0
20220101:0330,0.0,0.0,0.0,0.0
20220101:0400,0.0,0.0,0.0,0.0
20220101:0430,0.0,0.0,0.0,0.0
20220101:0500,0.0,0.0,0.0,0.0
20220101:0530,0.0,0.0,0.0,0.0
20220101:0600,0.0,0.0,0.0,0.0
20220101:0630,0.0,0.0,0.0,0.0
20220101:0700,0.0,0.0,0.0,0.0
20220101:0730,0.0,0.0,0.0,0.0
20220101:0800,0.0,0.0,0.0,0.0
20220101:0830,0.5,0.5,0.0,0.0
20220101:0900,15.9,15.4,0.5,9.8
20220101:0930,46.6,42.6,4.0,39.9
20220101:1000,99.0,58.0,41.0,287.3
20220101:1030,119.3,75.5,43.8,254.9
20220101:1100,97.9,81.5,16.4,80.8
20220101:1130,100.5,88.9,11.7,50.8
20220101:1200,174.3,98.9,75.4,319.6
20220101:1230,133.9,102.2,31.7,133.5
20220101:1300,106.4,70.2,36.2,161.1
20220101:1330,150.8,100.0,50.9,242.7
20220101:1400,61.3,49.5,11.7,60.5
20220101:1430,74.9,53.4,21.6,140.5
20220101:1500,59.5,44.2,15.3,144.9
20220101:1530,28.4,24.3,4.1,62.9
20220101:1600,2.8,2.7,0.0,0.8
20220101:1630,0.0,0.0,0.0,0.0
20220101:1700,0.0,0.0,0.0,0.0
20220101:1730,0.0,0.0,0.0,0.0
20220101:1800,0.0,0.0,0.0,0.0
20220101:1830,0.0,0.0,0.0,0.0
20220101:1900,0.0,0.0,0.0,0.0
20220101:1930,0.0,0.0,0.0,0.0
20220101:2000,0.0,0.0,0.0,0.0
20220101:2030,0.0,0.0,0.0,0.0
20220101:2100,0.0,0.0,0.0,0.0
20220101:2130,0.0,0.0,0.0,0.0
20220101:2200,0.0,0.0,0.0,0.0
20220101:2230,0.0,0.0,0.0,0.0
20220101:2300,0.0,0.0,0.0,0.0
20220101:2330,0.0,0.0,0.0,0.0
20220102:0000,0.0,0.0,0.0,0.0
20220102:0030,0.0,0.0,0.0,0.0
20220102:0100,0.0,0.0,0.0,0.0
20220102:0130,0.0,0.0,0.0,0.0
20220102:0200,0.0,0.0,0.0,0.0
20220102:0230,0.0,0.0,0.0,0.0
20220102:0300,0.0,0.0,0.0,0.0
20220102:0330,0.0,0.0,0.0,0.0
20220102:0400,0.0,0.0,0.0,0.0
20220102:0430,0.0,0.0,0.0,0.0
20220102:0500,0.0,0.0,0.0,0.0
20220102:0530,0.0,0.0,0.0,0.0
20220102:0600,0.0,0.0,0.0,0.0
20220102:0630,0.0,0.0,0.0,0.0
20220102:0700,0.0,0.0,0.0,0.0
20220102:0730,0.0,0.0,0.0,0.0
20220102:0800,0.0,0.0,0.0,0.0
20220102:0830,0.7,0.7,0.0,0.0
20220102:0900,20.5,18.0,2.6,45.5
20220102:0930,59.7,40.9,18.8,190.3
20220102:1000,102.4,57.9,44.5,313.9
20220102:1030,141.4,69.4,72.0,404.5
20220102:1100,173.1,76.4,96.7,468.4
20220102:1130,195.7,80.2,115.4,510.3
20220102:1200,207.2,83.3,123.9,523.4
20220102:1230,168.2,114.6,53.5,224.5
20220102:1300,172.9,104.3,68.6,300.0
20220102:1330,179.5,79.7,99.7,468.7
20220102:1400,150.1,73.2,77.0,412.3
20220102:1430,113.0,62.6,50.3,330.3
20220102:1500,70.8,47.0,23.9,214.9
20220102:1530,29.9,24.9,4.9,73.2
20220102:1600,3.2,3.1,0.0,1.1
20220102:1630,0.0,0.0,0.0,0.0
20220102:1700,0.0,0.0,0.0,0.0
20220102:1730,0.0,0.0,0.0,0.0
20220102:1800,0.0,0.0,0.0,0.0
20220102:1830,0.0,0.0,0.0,0.0
20220102:1900,0.0,0.0,0.0,0.0
20220102:1930,0.0,0.0,0.0,0.0
20220102:2000,0.0,0.0,0.0,0.0
20220102:2030,0.0,0.0,0.0,0.0
20220102:2100,0.0,0.0,0.0,0.0
20220102:2130,0.0,0.0,0.0,0.0
20220102:2200,0.0,0.0,0.0,0.0
20220102:2230,0.0,0.0,0.0,0.0
20220102:2300,0.0,0.0,0.0,0.0
20220102:2330,0.0,0.0,0.0,0.0
20220103:0000,0.0,0.0,0.0,0.0
20220103:0030,0.0,0.0,0.0,0.0
20220103:0100,0.0,0.0,0.0,0.0
20220103:0130,0.0,0.0,0.0,0.0
20220103:0200,0.0,0.0,0.0,0.0
20220103:0230,0.0,0.0,0.0,0.0
20220103:0300,0.0,0.0,0.0,0.0
20220103:0330,0.0,0.0,0.0,0.0
20220103:0400,0.0,0.0,0.0,0.0
20220103:0430,0.0,0.0,0.0,0.0
20220103:0500,0.0,0.0,0.0,0.0
20220103:0530,0.0,0.0,0.0,0.0
20220103:0600,0.0,0.0,0.0,0.0
20220103:0630,0.0,0.0,0.0,0.0
20220103:0700,0.0,0.0,0.0,0.0
20220103:0730,0.0,0.0,0.0,0.0
20220103:0800,0.0,0.0,0.0,0.0
20220103:0830,0.8,0.8,0.0,0.0
20220103:0900,20.9,18.2,2.7,46.7
20220103:0930,60.0,41.5,18.6,186.9
20220103:1000,93.4,62.2,31.2,225.1
20220103:1030,91.3,81.4,9.9,57.4
20220103:1100,92.5,91.3,1.2,5.9
20220103:1130,97.9,96.0,1.9,8.3
20220103:1200,112.2,101.1,11.1,46.7
20220103:1230,135.4,93.0,42.4,177.4
20220103:1300,142.8,110.3,32.5,139.3
20220103:1330,88.1,84.2,3.9,17.3
20220103:1400,47.5,47.4,0.0,0.1
20220103:1430,61.5,61.3,0.2,1.6
20220103:1500,36.4,36.4,0.0,0.0
20220103:1530,14.1,14.1,0.0,0.0
20220103:1600,1.7,1.7,0.0,0.0
20220103:1630,0.0,0.0,0.0,0.0
20220103:1700,0.0,0.0,0.0,0.0
20220103:1730,0.0,0.0,0.0,0.0
20220103:1800,0.0,0.0,0.0,0.0
20220103:1830,0.0,0.0,0.0,0.0
20220103:1900,0.0,0.0,0.0,0.0
20220103:1930,0.0,0.0,0.0,0.0
20220103:2000,0.0,0.0,0.0,0.0
20220103:2030,0.0,0.0,0.0,0.0
20220103:2100,0.0,0.0,0.0,0.0
20220103:2130,0.0,0.0,0.0,0.0
20220103:2200,0.0,0.0,0.0,0.0
20220103:2230,0.0,0.0,0.0,0.0
20220103:2300,0.0,0.0,0.0,0.0
20220103:2330,0.0,0.0,0.0,0.0
20220104:0000,0.0,0.0,0.0,0.0
20220104:0030,0.0,0.0,0.0,0.0
20220104:0100,0.0,0.0,0.0,0.0
20220104:0130,0.0,0.0,0.0,0.0
20220104:0200,0.0,0.0,0.0,0.0
20220104:0230,0.0,0.0,0.0,0.0
20220104:0300,0.0,0.0,0.0,0.0
20220104:0330,0.0,0.0,0.0,0.0
20220104:0400,0.0,0.0,0.0,0.0
20220104:0430,0.0,0.0,0.0,0.0
