Latitude (decimal degrees):	53.6316
Longitude (decimal degrees):	-8.189
Radiation database:	CAMS
Representative town:	Roscommon

time,GHI,DHI,BHI,BNI
20250101:0000,0.0,0.0,0.0,0.0
20250101:0030,0.0,0.0,0.0,0.0
20250101:0100,0.0,0.0,0.0,0.0
20250101:0130,0.0,0.0,0.0,0.0
20250101:0200,0.0,0.0,0.0,0.0
20250101:0230,0.0,0.0,0.0,0.0
20250101:0300,0.0,0.0,0.0,0.0
20250101:0330,0.0,0.0,0.0,0.0
20250101:0400,0.0,0.0,0.0,0.0
20250101:0430,0.0,0.0,0.0,0.0
20250101:0500,0.0,0.0,0.0,0.0
20250101:0530,0.0,0.0,0.0,0.0
20250101:0600,0.0,0.0,0.0,0.0
20250101:0630,0.0,0.0,0.0,0.0
20250101:0700,0.0,0.0,0.0,0.0
20250101:0730,0.0,0.0,0.0,0.0
20250101:0800,0.0,0.0,0.0,0.0
20250101:0830,0.1,0.1,0.0,0.0
20250101:0900,15.1,12.8,2.2,49.9
20250101:0930,49.4,38.9,10.5,120.4
20250101:1000,74.8,43.1,31.7,226.4
20250101:1030,145.1,42.7,102.5,608.1
20250101:1100,177.4,47.9,129.5,655.6
20250101:1130,200.3,51.5,148.8,682.8
20250101:1200,213.5,52.8,160.7,701.1
20250101:1230,216.5,51.8,164.7,712.5
20250101:1300,208.7,49.6,159.2,710.7
20250101:1330,190.5,46.2,144.2,695.1
20250101:1400,147.4,58.6,88.8,478.9
20250101:1430,119.9,41.9,78.0,531.9
20250101:1500,82.0,28.2,53.8,501.0
20250101:1530,36.3,17.4,18.9,311.2
20250101:1600,3.7,2.8,0.9,28.4
20250101:1630,0.0,0.0,0.0,0.0
20250101:1700,0.0,0.0,0.0,0.0
20250101:1730,0.0,0.0,0.0,0.0
20250101:1800,0.0,0.0,0.0,0.0
20250101:1830,0.0,0.0,0.0,0.0
20250101:1900,0.0,0.0,0.0,0.0
20250101:1930,0.0,0.0,0.0,0.0
20250101:2000,0.0,0.0,0.0,0.0
20250101:2030,0.0,0.0,0.0,0.0
20250101:2100,0.0,0.0,0.0,0.0
20250101:2130,0.0,0.0,0.0,0.0
20250101:2200,0.0,0.0,0.0,0.0
20250101:2230,0.0,0.0,0.0,0.0
20250101:2300,0.0,0.0,0.0,0.0
20250101:2330,0.0,0.0,0.0,0.0
20250102:0000,0.0,0.0,0.0,0.0
20250102:0030,0.0,0.0,0.0,0.0
20250102:0100,0.0,0.0,0.0,0.0
20250102:0130,0.0,0.0,0.0,0.0
20250102:0200,0.0,0.0,0.0,0.0
20250102:0230,0.0,0.0,0.0,0.0
20250102:0300,0.0,0.0,0.0,0.0
20250102:0330,0.0,0.0,0.0,0.0
20250102:0400,0.0,0.0,0.0,0.0
20250102:0430,0.0,0.0,0.0,0.0
20250102:0500,0.0,0.0,0.0,0.0
20250102:0530,0.0,0.0,0.0,0.0
20250102:0600,0.0,0.0,0.0,0.0
20250102:0630,0.0,0.0,0.0,0.0
20250102:0700,0.0,0.0,0.0,0.0
20250102:0730,0.0,0.0,0.0,0.0
20250102:0800,0.0,0.0,0.0,0.0
20250102:0830,0.1,0.1,0.0,0.0
20250102:0900,18.4,12.5,5.9,127.3
20250102:0930,61.0,28.8,32.3,364.6
20250102:1000,106.7,39.7,67.0,506.0
20250102:1030,138.1,55.2,83.0,494.8
20250102:1100,162.5,67.1,95.4,476.6
20250102:1130,193.1,56.8,136.3,622.8
20250102:1200,215.2,57.8,157.4,682.4
20250102:1230,220.7,56.1,164.6,707.3
20250102:1300,212.6,54.7,157.9,699.8
20250102:1330,193.4,52.3,141.2,674.2
20250102:1400,151.8,57.1,94.6,515.9
20250102:1430,127.6,41.6,86.0,571.0
20250102:1500,83.5,32.8,50.7,462.6
20250102:1530,37.7,20.0,17.7,280.1
20250102:1600,4.3,3.4,0.9,26.7
20250102:1630,0.0,0.0,0.0,0.0
20250102:1700,0.0,0.0,0.0,0.0
20250102:1730,0.0,0.0,0.0,0.0
20250102:1800,0.0,0.0,0.0,0.0
20250102:1830,0.0,0.0,0.0,0.0
20250102:1900,0.0,0.0,0.0,0.0
20250102:1930,0.0,0.0,0.0,0.0
20250102:2000,0.0,0.0,0.0,0.0
20250102:2030,0.0,0.0,0.0,0.0
20250102:2100,0.0,0.0,0.0,0.0
20250102:2130,0.0,0.0,0.0,0.0
20250102:2200,0.0,0.0,0.0,0.0
20250102:2230,0.0,0.0,0.0,0.0
20250102:2300,0.0,0.0,0.0,0.0
20250102:2330,0.0,0.0,0.0,0.0
20250103:0000,0.0,0.0,0.0,0.0
20250103:0030,0.0,0.0,0.0,0.0
20250103:0100,0.0,0.0,0.0,0.0
20250103:0130,0.0,0.0,0.0,0.0
20250103:0200,0.0,0.0,0.0,0.0
20250103:0230,0.0,0.0,0.0,0.0
20250103:0300,0.0,0.0,0.0,0.0
20250103:0330,0.0,0.0,0.0,0.0
20250103:0400,0.0,0.0,0.0,0.0
20250103:0430,0.0,0.0,0.0,0.0
20250103:0500,0.0,0.0,0.0,0.0
20250103:0530,0.0,0.0,0.0,0.0
20250103:0600,0.0,0.0,0.0,0.0
20250103:0630,0.0,0.0,0.0,0.0
20250103:0700,0.0,0.0,0.0,0.0
20250103:0730,0.0,0.0,0.0,0.0
20250103:0800,0.0,0.0,0.0,0.0
20250103:0830,0.1,0.1,0.0,0.0
20250103:0900,7.0,7.0,0.0,0.0
20250103:0930,23.8,23.2,0.6,5.7
20250103:1000,98.4,40.2,58.2,428.1
20250103:1030,147.8,47.7,100.1,586.8
20250103:1100,174.4,56.4,117.9,591.8
20250103:1130,202.0,56.7,145.2,657.9
20250103:1200,202.5,66.0,136.6,588.0
20250103:1230,222.0,55.8,166.2,709.0
20250103:1300,213.9,54.6,159.4,700.5
20250103:1330,195.3,52.1,143.2,677.6
20250103:1400,166.6,48.1,118.6,636.6
20250103:1430,129.3,42.1,87.2,570.4
20250103:1500,85.3,33.5,51.8,462.8
20250103:1530,39.4,20.8,18.6,283.3
20250103:1600,5.0,4.0,1.0,31.0
20250103:1630,0.0,0.0,0.0,0.0
20250103:1700,0.0,0.0,0.0,0.0
20250103:1730,0.0,0.0,0.0,0.0
20250103:1800,0.0,0.0,0.0,0.0
20250103:1830,0.0,0.0,0.0,0.0
20250103:1900,0.0,0.0,0.0,0.0
20250103:1930,0.0,0.0,0.0,0.0
20250103:2000,0.0,0.0,0.0,0.0
20250103:2030,0.0,0.0,0.0,0.0
20250103:2100,0.0,0.0,0.0,0.0
20250103:2130,0.0,0.0,0.0,0.0
20250103:2200,0.0,0.0,0.0,0.0
20250103:2230,0.0,0.0,0.0,0.0
20250103:2300,0.0,0.0,0.0,0.0
20250103:2330,0.0,0.0,0.0,0.0
20250104:0000,0.0,0.0,0.0,0.0
20250104:0030,0.0,0.0,0.0,0.0
20250104:0100,0.0,0.0,0.0,0.0
20250104:0130,0.0,0.0,0.0,0.0
20250104:0200,0.0,0.0,0.0,0.0
20250104:0230,0.0,0.0,0.0,0.0
20250104:0300,0.0,0.0,0.0,0.0
20250104:0330,0.0,0.0,0.0,0.0
20250104:0400,0.0,0.0,0.0,0.0
20250104:0430,0.0,0.0,0.0,0.0
20250104:0500,0.0,0.0,0.0,0.0
20250104:0530,0.0,0.0,0.0,0.0
20250104:0600,0.0,0.0,0.0,0.0
20250104:0630,0.0,0.0,0.0,0.0
20250104:0700,0.0,0.0,0.0,0.0
