MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
99999999902,000000000000000002,0.462,Active Import Interval (kW),01-01-2025 00:30
99999999902,000000000000000002,0.373,Active Import Interval (kW),01-01-2025 01:00
99999999902,000000000000000002,0.452,Active Import Interval (kW),01-01-2025 01:30
99999999902,000000000000000002,0.419,Active Import Interval (kW),01-01-2025 02:00
99999999902,000000000000000002,0.405,Active Import Interval (kW),01-01-2025 02:30
99999999902,000000000000000002,0.455,Active Import Interval (kW),01-01-2025 03:00
99999999902,000000000000000002,0.41,Active Import Interval (kW),01-01-2025 03:30
99999999902,000000000000000002,0.425,Active Import Interval (kW),01-01-2025 04:00
99999999902,000000000000000002,0.431,Active Import Interval (kW),01-01-2025 04:30
99999999902,000000000000000002,0.462,Active Import Interval (kW),01-01-2025 05:00
99999999902,000000000000000002,0.425,Active Import Interval (kW),01-01-2025 05:30
99999999902,000000000000000002,0.616,Active Import Interval (kW),01-01-2025 06:00
99999999902,000000000000000002,1.268,Active Import Interval (kW),01-01-2025 06:30
99999999902,000000000000000002,1.084,Active Import Interval (kW),01-01-2025 07:00
99999999902,000000000000000002,1.305,Active Import Interval (kW),01-01-2025 07:30
99999999902,000000000000000002,1.2,Active Import Interval (kW),01-01-2025 08:00
99999999902,000000000000000002,0.584,Active Import Interval (kW),01-01-2025 08:30
99999999902,000000000000000002,0.526,Active Import Interval (kW),01-01-2025 09:00
99999999902,000000000000000002,0.656,Active Import Interval (kW),01-01-2025 09:30
99999999902,000000000000000002,0.507,Active Import Interval (kW),01-01-2025 10:00
99999999902,000000000000000002,0.715,Active Import Interval (kW),01-01-2025 10:30
99999999902,000000000000000002,0.655,Active Import Interval (kW),01-01-2025 11:00
99999999902,000000000000000002,0.564,Active Import Interval (kW),01-01-2025 11:30
99999999902,000000000000000002,0.664,Active Import Interval (kW),01-01-2025 12:00
99999999902,000000000000000002,0.603,Active Import Interval (kW),01-01-2025 12:30
99999999902,000000000000000002,0.599,Active Import Interval (kW),01-01-2025 13:00
99999999902,000000000000000002,0.639,Active Import Interval (kW),01-01-2025 13:30
99999999902,000000000000000002,0.616,Active Import Interval (kW),01-01-2025 14:00
99999999902,000000000000000002,0.63,Active Import Interval (kW),01-01-2025 14:30
99999999902,000000000000000002,0.587,Active Import Interval (kW),01-01-2025 15:00
99999999902,000000000000000002,0.641,Active Import Interval (kW),01-01-2025 15:30
99999999902,000000000000000002,0.642,Active Import Interval (kW),01-01-2025 16:00
99999999902,000000000000000002,0.903,Active Import Interval (kW),01-01-2025 16:30
99999999902,000000000000000002,1.053,Active Import Interval (kW),01-01-2025 17:00
99999999902,000000000000000002,0.987,Active Import Interval (kW),01-01-2025 17:30
99999999902,000000000000000002,0.938,Active Import Interval (kW),01-01-2025 18:00
99999999902,000000000000000002,0.652,Active Import Interval (kW),01-01-2025 18:30
99999999902,000000000000000002,0.618,Active Import Interval (kW),01-01-2025 19:00
99999999902,000000000000000002,0.685,Active Import Interval (kW),01-01-2025 19:30
99999999902,000000000000000002,0.596,Active Import Interval (kW),01-01-2025 20:00
99999999902,000000000000000002,0.69,Active Import Interval (kW),01-01-2025 20:30
99999999902,000000000000000002,0.688,Active Import Interval (kW),01-01-2025 21:00
99999999902,000000000000000002,0.616,Active Import Interval (kW),01-01-2025 21:30
99999999902,000000000000000002,0.552,Active Import Interval (kW),01-01-2025 22:00
99999999902,000000000000000002,0.597,Active Import Interval (kW),01-01-2025 22:30
99999999902,000000000000000002,0.596,Active Import Interval (kW),01-01-2025 23:00
99999999902,000000000000000002,0.718,Active Import Interval (kW),01-01-2025 23:30
99999999902,000000000000000002,0.607,Active Import Interval (kW),02-01-2025 00:00
99999999902,000000000000000002,0.449,Active Import Interval (kW),02-01-2025 00:30
99999999902,000000000000000002,0.464,Active Import Interval (kW),02-01-2025 01:00
99999999902,000000000000000002,0.418,Active Import Interval (kW),02-01-2025 01:30
99999999902,000000000000000002,0.419,Active Import Interval (kW),02-01-2025 02:00
99999999902,000000000000000002,0.476,Active Import Interval (kW),02-01-2025 02:30
99999999902,000000000000000002,0.492,Active Import Interval (kW),02-01-2025 03:00
99999999902,000000000000000002,0.467,Active Import Interval (kW),02-01-2025 03:30
99999999902,000000000000000002,0.492,Active Import Interval (kW),02-01-2025 04:00
99999999902,000000000000000002,0.423,Active Import Interval (kW),02-01-2025 04:30
99999999902,000000000000000002,0.428,Active Import Interval (kW),02-01-2025 05:00
99999999902,000000000000000002,0.431,Active Import Interval (kW),02-01-2025 05:30
99999999902,000000000000000002,0.516,Active Import Interval (kW),02-01-2025 06:00
99999999902,000000000000000002,1.173,Active Import Interval (kW),02-01-2025 06:30
99999999902,000000000000000002,1.072,Active Import Interval (kW),02-01-2025 07:00
99999999902,000000000000000002,1.108,Active Import Interval (kW),02-01-2025 07:30
99999999902,000000000000000002,0.919,Active Import Interval (kW),02-01-2025 08:00
99999999902,000000000000000002,0.549,Active Import Interval (kW),02-01-2025 08:30
99999999902,000000000000000002,0.694,Active Import Interval (kW),02-01-2025 09:00
99999999902,000000000000000002,0.593,Active Import Interval (kW),02-01-2025 09:30
99999999902,000000000000000002,0.583,Active Import Interval (kW),02-01-2025 10:00
99999999902,000000000000000002,0.614,Active Import Interval (kW),02-01-2025 10:30
99999999902,000000000000000002,0.641,Active Import Interval (kW),02-01-2025 11:00
99999999902,000000000000000002,0.558,Active Import Interval (kW),02-01-2025 11:30
99999999902,000000000000000002,0.547,Active Import Interval (kW),02-01-2025 12:00
99999999902,000000000000000002,0.54,Active Import Interval (kW),02-01-2025 12:30
99999999902,000000000000000002,0.638,Active Import Interval (kW),02-01-2025 13:00
99999999902,000000000000000002,0.633,Active Import Interval (kW),02-01-2025 13:30
99999999902,000000000000000002,0.667,Active Import Interval (kW),02-01-2025 14:00
99999999902,000000000000000002,0.609,Active Import Interval (kW),02-01-2025 14:30
99999999902,000000000000000002,0.61,Active Import Interval (kW),02-01-2025 15:00
99999999902,000000000000000002,0.575,Active Import Interval (kW),02-01-2025 15:30
99999999902,000000000000000002,0.653,Active Import Interval (kW),02-01-2025 16:00
99999999902,000000000000000002,0.895,Active Import Interval (kW),02-01-2025 16:30
99999999902,000000000000000002,0.8,Active Import Interval (kW),02-01-2025 17:00
99999999902,000000000000000002,1.016,Active Import Interval (kW),02-01-2025 17:30
99999999902,000000000000000002,0.835,Active Import Interval (kW),02-01-2025 18:00
99999999902,000000000000000002,0.617,Active Import Interval (kW),02-01-2025 18:30
99999999902,000000000000000002,0.646,Active Import Interval (kW),02-01-2025 19:00
99999999902,000000000000000002,0.559,Active Import Interval (kW),02-01-2025 19:30
99999999902,000000000000000002,0.637,Active Import Interval (kW),02-01-2025 20:00
99999999902,000000000000000002,0.666,Active Import Interval (kW),02-01-2025 20:30
99999999902,000000000000000002,0.602,Active Import Interval (kW),02-01-2025 21:00
99999999902,000000000000000002,0.624,Active Import Interval (kW),02-01-2025 21:30
99999999902,000000000000000002,0.62,Active Import Interval (kW),02-01-2025 22:00
99999999902,000000000000000002,0.626,Active Import Interval (kW),02-01-2025 22:30
99999999902,000000000000000002,0.609,Active Import Interval (kW),02-01-2025 23:00
99999999902,000000000000000002,0.637,Active Import Interval (kW),02-01-2025 23:30
99999999902,000000000000000002,0.673,Active Import Interval (kW),03-01-2025 00:00
99999999902,000000000000000002,0.446,Active Import Interval (kW),03-01-2025 00:30
99999999902,000000000000000002,0.424,Active Import Interval (kW),03-01-2025 01:00
99999999902,000000000000000002,0.421,Active Import Interval (kW),03-01-2025 01:30
99999999902,000000000000000002,0.441,Active Import Interval (kW),03-01-2025 02:00
99999999902,000000000000000002,0.463,Active Import Interval (kW),03-01-2025 02:30
99999999902,000000000000000002,0.414,Active Import Interval (kW),03-01-2025 03:00
99999999902,000000000000000002,0.475,Active Import Interval (kW),03-01-2025 03:30
99999999902,000000000000000002,0.465,Active Import Interval (kW),03-01-2025 04:00
99999999902,000000000000000002,0.451,Active Import Interval (kW),03-01-2025 04:30
99999999902,000000000000000002,0.455,Active Import Interval (kW),03-01-2025 05:00
99999999902,000000000000000002,0.388,Active Import Interval (kW),03-01-2025 05:30
99999999902,000000000000000002,0.516,Active Import Interval (kW),03-01-2025 06:00
99999999902,000000000000000002,1.22,Active Import Interval (kW),03-01-2025 06:30
99999999902,000000000000000002,1.147,Active Import Interval (kW),03-01-2025 07:00
99999999902,000000000000000002,1.29,Active Import Interval (kW),03-01-2025 07:30
99999999902,000000000000000002,1.123,Active Import Interval (kW),03-01-2025 08:00
99999999902,000000000000000002,0.59,Active Import Interval (kW),03-01-2025 08:30
99999999902,000000000000000002,0.588,Active Import Interval (kW),03-01-2025 09:00
99999999902,000000000000000002,0.693,Active Import Interval (kW),03-01-2025 09:30
99999999902,000000000000000002,0.663,Active Import Interval (kW),03-01-2025 10:00
99999999902,000000000000000002,0.564,Active Import Interval (kW),03-01-2025 10:30
99999999902,000000000000000002,0.53,Active Import Interval (kW),03-01-2025 11:00
99999999902,000000000000000002,0.541,Active Import Interval (kW),03-01-2025 11:30
99999999902,000000000000000002,0.642,Active Import Interval (kW),03-01-2025 12:00
99999999902,000000000000000002,0.604,Active Import Interval (kW),03-01-2025 12:30
99999999902,000000000000000002,0.708,Active Import Interval (kW),03-01-2025 13:00
99999999902,000000000000000002,0.622,Active Import Interval (kW),03-01-2025 13:30
99999999902,000000000000000002,0.557,Active Import Interval (kW),03-01-2025 14:00
99999999902,000000000000000002,0.575,Active Import Interval (kW),03-01-2025 14:30
99999999902,000000000000000002,0.685,Active Import Interval (kW),03-01-2025 15:00
99999999902,000000000000000002,0.634,Active Import Interval (kW),03-01-2025 15:30
99999999902,000000000000000002,0.636,Active Import Interval (kW),03-01-2025 16:00
99999999902,000000000000000002,1.003,Active Import Interval (kW),03-01-2025 16:30
99999999902,000000000000000002,0.941,Active Import Interval (kW),03-01-2025 17:00
99999999902,000000000000000002,0.935,Active Import Interval (kW),03-01-2025 17:30
99999999902,000000000000000002,0.91,Active Import Interval (kW),03-01-2025 18:00
99999999902,000000000000000002,0.716,Active Import Interval (kW),03-01-2025 18:30
99999999902,000000000000000002,0.579,Active Import Interval (kW),03-01-2025 19:00
99999999902,000000000000000002,0.542,Active Import Interval (kW),03-01-2025 19:30
99999999902,000000000000000002,0.608,Active Import Interval (kW),03-01-2025 20:00
99999999902,000000000000000002,0.613,Active Import Interval (kW),03-01-2025 20:30
99999999902,000000000000000002,0.571,Active Import Interval (kW),03-01-2025 21:00
99999999902,000000000000000002,0.656,Active Import Interval (kW),03-01-2025 21:30
99999999902,000000000000000002,0.611,Active Import Interval (kW),03-01-2025 22:00
99999999902,000000000000000002,0.708,Active Import Interval (kW),03-01-2025 22:30
99999999902,000000000000000002,0.606,Active Import Interval (kW),03-01-2025 23:00
99999999902,000000000000000002,0.54,Active Import Interval (kW),03-01-2025 23:30
99999999902,000000000000000002,0.58,Active Import Interval (kW),04-01-2025 00:00
99999999902,000000000000000002,0.414,Active Import Interval (kW),04-01-2025 00:30
99999999902,000000000000000002,0.395,Active Import Interval (kW),04-01-2025 01:00
99999999902,000000000000000002,0.456,Active Import Interval (kW),04-01-2025 01:30
99999999902,000000000000000002,0.424,Active Import Interval (kW),04-01-2025 02:00
99999999902,000000000000000002,0.476,Active Import Interval (kW),04-01-2025 02:30
99999999902,000000000000000002,0.432,Active Import Interval (kW),04-01-2025 03:00
99999999902,000000000000000002,0.395,Active Import Interval (kW),04-01-2025 03:30
99999999902,000000000000000002,0.487,Active Import Interval (kW),04-01-2025 04:00
99999999902,000000000000000002,0.359,Active Import Interval (kW),04-01-2025 04:30
99999999902,000000000000000002,0.366,Active Import Interval (kW),04-01-2025 05:00
99999999902,000000000000000002,0.454,Active Import Interval (kW),04-01-2025 05:30
99999999902,000000000000000002,0.681,Active Import Interval (kW),04-01-2025 06:00
99999999902,000000000000000002,1.211,Active Import Interval (kW),04-01-2025 06:30
99999999902,000000000000000002,1.114,Active Import Interval (kW),04-01-2025 07:00
99999999902,000000000000000002,1.285,Active Import Interval (kW),04-01-2025 07:30
99999999902,000000000000000002,1.056,Active Import Interval (kW),04-01-2025 08:00
99999999902,000000000000000002,0.525,Active Import Interval (kW),04-01-2025 08:30
99999999902,000000000000000002,0.623,Active Import Interval (kW),04-01-2025 09:00
99999999902,000000000000000002,0.676,Active Import Interval (kW),04-01-2025 09:30
99999999902,000000000000000002,0.64,Active Import Interval (kW),04-01-2025 10:00
99999999902,000000000000000002,0.573,Active Import Interval (kW),04-01-2025 10:30
99999999902,000000000000000002,0.604,Active Import Interval (kW),04-01-2025 11:00
99999999902,000000000000000002,0.588,Active Import Interval (kW),04-01-2025 11:30
99999999902,000000000000000002,0.559,Active Import Interval (kW),04-01-2025 12:00
99999999902,000000000000000002,0.64,Active Import Interval (kW),04-01-2025 12:30
99999999902,000000000000000002,0.633,Active Import Interval (kW),04-01-2025 13:00
99999999902,000000000000000002,0.569,Active Import Interval (kW),04-01-2025 13:30
99999999902,000000000000000002,0.615,Active Import Interval (kW),04-01-2025 14:00
99999999902,000000000000000002,0.686,Active Import Interval (kW),04-01-2025 14:30
99999999902,000000000000000002,0.518,Active Import Interval (kW),04-01-2025 15:00
99999999902,000000000000000002,0.621,Active Import Interval (kW),04-01-2025 15:30
99999999902,000000000000000002,0.541,Active Import Interval (kW),04-01-2025 16:00
99999999902,000000000000000002,0.945,Active Import Interval (kW),04-01-2025 16:30
99999999902,000000000000000002,0.962,Active Import Interval (kW),04-01-2025 17:00
99999999902,000000000000000002,0.922,Active Import Interval (kW),04-01-2025 17:30
99999999902,000000000000000002,0.906,Active Import Interval (kW),04-01-2025 18:00
99999999902,000000000000000002,0.574,Active Import Interval (kW),04-01-2025 18:30
99999999902,000000000000000002,0.644,Active Import Interval (kW),04-01-2025 19:00
99999999902,000000000000000002,0.692,Active Import Interval (kW),04-01-2025 19:30
99999999902,000000000000000002,0.642,Active Import Interval (kW),04-01-2025 20:00
99999999902,000000000000000002,0.593,Active Import Interval (kW),04-01-2025 20:30
99999999902,000000000000000002,0.581,Active Import Interval (kW),04-01-2025 21:00
99999999902,000000000000000002,0.638,Active Import Interval (kW),04-01-2025 21:30
99999999902,000000000000000002,0.563,Active Import Interval (kW),04-01-2025 22:00
99999999902,000000000000000002,0.6,Active Import Interval (kW),04-01-2025 22:30
99999999902,000000000000000002,0.625,Active Import Interval (kW),04-01-2025 23:00
