MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
99999999901,000000000000000001,0.272,Active Import Interval (kW),01-01-2025 00:30
99999999901,000000000000000001,0.271,Active Import Interval (kW),01-01-2025 01:00
99999999901,000000000000000001,0.273,Active Import Interval (kW),01-01-2025 01:30
99999999901,000000000000000001,0.291,Active Import Interval (kW),01-01-2025 02:00
99999999901,000000000000000001,0.272,Active Import Interval (kW),01-01-2025 02:30
99999999901,000000000000000001,0.242,Active Import Interval (kW),01-01-2025 03:00
99999999901,000000000000000001,0.283,Active Import Interval (kW),01-01-2025 03:30
99999999901,000000000000000001,0.269,Active Import Interval (kW),01-01-2025 04:00
99999999901,000000000000000001,0.27,Active Import Interval (kW),01-01-2025 04:30
99999999901,000000000000000001,0.555,Active Import Interval (kW),01-01-2025 05:00
99999999901,000000000000000001,0.561,Active Import Interval (kW),01-01-2025 05:30
99999999901,000000000000000001,0.602,Active Import Interval (kW),01-01-2025 06:00
99999999901,000000000000000001,1.802,Active Import Interval (kW),01-01-2025 06:30
99999999901,000000000000000001,1.727,Active Import Interval (kW),01-01-2025 07:00
99999999901,000000000000000001,1.611,Active Import Interval (kW),01-01-2025 07:30
99999999901,000000000000000001,1.573,Active Import Interval (kW),01-01-2025 08:00
99999999901,000000000000000001,0.748,Active Import Interval (kW),01-01-2025 08:30
99999999901,000000000000000001,0.777,Active Import Interval (kW),01-01-2025 09:00
99999999901,000000000000000001,0.675,Active Import Interval (kW),01-01-2025 09:30
99999999901,000000000000000001,0.637,Active Import Interval (kW),01-01-2025 10:00
99999999901,000000000000000001,0.351,Active Import Interval (kW),01-01-2025 10:30
99999999901,000000000000000001,0.297,Active Import Interval (kW),01-01-2025 11:00
99999999901,000000000000000001,0.328,Active Import Interval (kW),01-01-2025 11:30
99999999901,000000000000000001,0.35,Active Import Interval (kW),01-01-2025 12:00
99999999901,000000000000000001,0.36,Active Import Interval (kW),01-01-2025 12:30
99999999901,000000000000000001,0.33,Active Import Interval (kW),01-01-2025 13:00
99999999901,000000000000000001,0.346,Active Import Interval (kW),01-01-2025 13:30
99999999901,000000000000000001,0.343,Active Import Interval (kW),01-01-2025 14:00
99999999901,000000000000000001,0.357,Active Import Interval (kW),01-01-2025 14:30
99999999901,000000000000000001,0.306,Active Import Interval (kW),01-01-2025 15:00
99999999901,000000000000000001,0.352,Active Import Interval (kW),01-01-2025 15:30
99999999901,000000000000000001,0.296,Active Import Interval (kW),01-01-2025 16:00
99999999901,000000000000000001,0.266,Active Import Interval (kW),01-01-2025 16:30
99999999901,000000000000000001,0.32,Active Import Interval (kW),01-01-2025 17:00
99999999901,000000000000000001,0.312,Active Import Interval (kW),01-01-2025 17:30
99999999901,000000000000000001,1.701,Active Import Interval (kW),01-01-2025 18:00
99999999901,000000000000000001,1.674,Active Import Interval (kW),01-01-2025 18:30
99999999901,000000000000000001,1.435,Active Import Interval (kW),01-01-2025 19:00
99999999901,000000000000000001,1.698,Active Import Interval (kW),01-01-2025 19:30
99999999901,000000000000000001,0.619,Active Import Interval (kW),01-01-2025 20:00
99999999901,000000000000000001,0.638,Active Import Interval (kW),01-01-2025 20:30
99999999901,000000000000000001,0.597,Active Import Interval (kW),01-01-2025 21:00
99999999901,000000000000000001,0.339,Active Import Interval (kW),01-01-2025 21:30
99999999901,000000000000000001,0.358,Active Import Interval (kW),01-01-2025 22:00
99999999901,000000000000000001,0.354,Active Import Interval (kW),01-01-2025 22:30
99999999901,000000000000000001,0.346,Active Import Interval (kW),01-01-2025 23:00
99999999901,000000000000000001,0.354,Active Import Interval (kW),01-01-2025 23:30
99999999901,000000000000000001,0.349,Active Import Interval (kW),02-01-2025 00:00
99999999901,000000000000000001,0.261,Active Import Interval (kW),02-01-2025 00:30
99999999901,000000000000000001,0.259,Active Import Interval (kW),02-01-2025 01:00
