MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
99999999903,000000000000000003,2.282,Active Import Interval (kW),01-01-2025 00:30
99999999903,000000000000000003,2.129,Active Import Interval (kW),01-01-2025 01:00
99999999903,000000000000000003,2.073,Active Import Interval (kW),01-01-2025 01:30
99999999903,000000000000000003,2.212,Active Import Interval (kW),01-01-2025 02:00
99999999903,000000000000000003,2.086,Active Import Interval (kW),01-01-2025 02:30
99999999903,000000000000000003,2.363,Active Import Interval (kW),01-01-2025 03:00
99999999903,000000000000000003,2.293,Active Import Interval (kW),01-01-2025 03:30
99999999903,000000000000000003,2.224,Active Import Interval (kW),01-01-2025 04:00
99999999903,000000000000000003,2.034,Active Import Interval (kW),01-01-2025 04:30
99999999903,000000000000000003,2.011,Active Import Interval (kW),01-01-2025 05:00
99999999903,000000000000000003,2.384,Active Import Interval (kW),01-01-2025 05:30
99999999903,000000000000000003,2.079,Active Import Interval (kW),01-01-2025 06:00
99999999903,000000000000000003,4.367,Active Import Interval (kW),01-01-2025 06:30
99999999903,000000000000000003,3.529,Active Import Interval (kW),01-01-2025 07:00
99999999903,000000000000000003,10.953,Active Import Interval (kW),01-01-2025 07:30
99999999903,000000000000000003,8.606,Active Import Interval (kW),01-01-2025 08:00
99999999903,000000000000000003,10.356,Active Import Interval (kW),01-01-2025 08:30
99999999903,000000000000000003,8.571,Active Import Interval (kW),01-01-2025 09:00
99999999903,000000000000000003,10.614,Active Import Interval (kW),01-01-2025 09:30
99999999903,000000000000000003,10.119,Active Import Interval (kW),01-01-2025 10:00
99999999903,000000000000000003,5.463,Active Import Interval (kW),01-01-2025 10:30
99999999903,000000000000000003,5.627,Active Import Interval (kW),01-01-2025 11:00
99999999903,000000000000000003,5.925,Active Import Interval (kW),01-01-2025 11:30
99999999903,000000000000000003,6.339,Active Import Interval (kW),01-01-2025 12:00
99999999903,000000000000000003,6.361,Active Import Interval (kW),01-01-2025 12:30
99999999903,000000000000000003,7.297,Active Import Interval (kW),01-01-2025 13:00
99999999903,000000000000000003,6.477,Active Import Interval (kW),01-01-2025 13:30
99999999903,000000000000000003,6.451,Active Import Interval (kW),01-01-2025 14:00
99999999903,000000000000000003,5.771,Active Import Interval (kW),01-01-2025 14:30
99999999903,000000000000000003,5.706,Active Import Interval (kW),01-01-2025 15:00
99999999903,000000000000000003,5.581,Active Import Interval (kW),01-01-2025 15:30
99999999903,000000000000000003,6.21,Active Import Interval (kW),01-01-2025 16:00
99999999903,000000000000000003,5.261,Active Import Interval (kW),01-01-2025 16:30
99999999903,000000000000000003,5.409,Active Import Interval (kW),01-01-2025 17:00
99999999903,000000000000000003,5.054,Active Import Interval (kW),01-01-2025 17:30
99999999903,000000000000000003,5.063,Active Import Interval (kW),01-01-2025 18:00
99999999903,000000000000000003,8.965,Active Import Interval (kW),01-01-2025 18:30
99999999903,000000000000000003,9.085,Active Import Interval (kW),01-01-2025 19:00
99999999903,000000000000000003,8.522,Active Import Interval (kW),01-01-2025 19:30
99999999903,000000000000000003,9.525,Active Import Interval (kW),01-01-2025 20:00
99999999903,000000000000000003,7.573,Active Import Interval (kW),01-01-2025 20:30
99999999903,000000000000000003,8.963,Active Import Interval (kW),01-01-2025 21:00
99999999903,000000000000000003,8.395,Active Import Interval (kW),01-01-2025 21:30
99999999903,000000000000000003,9.172,Active Import Interval (kW),01-01-2025 22:00
99999999903,000000000000000003,8.948,Active Import Interval (kW),01-01-2025 22:30
99999999903,000000000000000003,9.33,Active Import Interval (kW),01-01-2025 23:00
99999999903,000000000000000003,4.41,Active Import Interval (kW),01-01-2025 23:30
99999999903,000000000000000003,4.756,Active Import Interval (kW),02-01-2025 00:00
99999999903,000000000000000003,2.302,Active Import Interval (kW),02-01-2025 00:30
99999999903,000000000000000003,2.188,Active Import Interval (kW),02-01-2025 01:00
99999999903,000000000000000003,2.347,Active Import Interval (kW),02-01-2025 01:30
99999999903,000000000000000003,2.064,Active Import Interval (kW),02-01-2025 02:00
99999999903,000000000000000003,2.446,Active Import Interval (kW),02-01-2025 02:30
99999999903,000000000000000003,2.331,Active Import Interval (kW),02-01-2025 03:00
99999999903,000000000000000003,1.933,Active Import Interval (kW),02-01-2025 03:30
99999999903,000000000000000003,2.373,Active Import Interval (kW),02-01-2025 04:00
99999999903,000000000000000003,2.021,Active Import Interval (kW),02-01-2025 04:30
99999999903,000000000000000003,2.274,Active Import Interval (kW),02-01-2025 05:00
99999999903,000000000000000003,2.579,Active Import Interval (kW),02-01-2025 05:30
99999999903,000000000000000003,2.239,Active Import Interval (kW),02-01-2025 06:00
99999999903,000000000000000003,3.921,Active Import Interval (kW),02-01-2025 06:30
99999999903,000000000000000003,3.416,Active Import Interval (kW),02-01-2025 07:00
99999999903,000000000000000003,8.991,Active Import Interval (kW),02-01-2025 07:30
99999999903,000000000000000003,9.212,Active Import Interval (kW),02-01-2025 08:00
99999999903,000000000000000003,10.259,Active Import Interval (kW),02-01-2025 08:30
99999999903,000000000000000003,9.862,Active Import Interval (kW),02-01-2025 09:00
99999999903,000000000000000003,11.248,Active Import Interval (kW),02-01-2025 09:30
99999999903,000000000000000003,11.833,Active Import Interval (kW),02-01-2025 10:00
99999999903,000000000000000003,6.998,Active Import Interval (kW),02-01-2025 10:30
99999999903,000000000000000003,6.514,Active Import Interval (kW),02-01-2025 11:00
99999999903,000000000000000003,6.413,Active Import Interval (kW),02-01-2025 11:30
99999999903,000000000000000003,6.592,Active Import Interval (kW),02-01-2025 12:00
99999999903,000000000000000003,5.666,Active Import Interval (kW),02-01-2025 12:30
99999999903,000000000000000003,6.52,Active Import Interval (kW),02-01-2025 13:00
99999999903,000000000000000003,6.85,Active Import Interval (kW),02-01-2025 13:30
99999999903,000000000000000003,7.265,Active Import Interval (kW),02-01-2025 14:00
