MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
99999999905,000000000000000005,0.377,Active Import Interval (kW),01-01-2025 00:30
99999999905,000000000000000005,0.341,Active Import Interval (kW),01-01-2025 01:00
99999999905,000000000000000005,0.421,Active Import Interval (kW),01-01-2025 01:30
99999999905,000000000000000005,0.357,Active Import Interval (kW),01-01-2025 02:00
99999999905,000000000000000005,0.33,Active Import Interval (kW),01-01-2025 02:30
99999999905,000000000000000005,0.423,Active Import Interval (kW),01-01-2025 03:00
99999999905,000000000000000005,0.403,Active Import Interval (kW),01-01-2025 03:30
99999999905,000000000000000005,0.385,Active Import Interval (kW),01-01-2025 04:00
99999999905,000000000000000005,0.356,Active Import Interval (kW),01-01-2025 04:30
99999999905,000000000000000005,0.36,Active Import Interval (kW),01-01-2025 05:00
99999999905,000000000000000005,0.387,Active Import Interval (kW),01-01-2025 05:30
99999999905,000000000000000005,0.373,Active Import Interval (kW),01-01-2025 06:00
99999999905,000000000000000005,1.019,Active Import Interval (kW),01-01-2025 06:30
99999999905,000000000000000005,1.1,Active Import Interval (kW),01-01-2025 07:00
99999999905,000000000000000005,2.18,Active Import Interval (kW),01-01-2025 07:30
99999999905,000000000000000005,2.065,Active Import Interval (kW),01-01-2025 08:00
99999999905,000000000000000005,2.151,Active Import Interval (kW),01-01-2025 08:30
99999999905,000000000000000005,2.176,Active Import Interval (kW),01-01-2025 09:00
99999999905,000000000000000005,0.91,Active Import Interval (kW),01-01-2025 09:30
99999999905,000000000000000005,0.867,Active Import Interval (kW),01-01-2025 10:00
99999999905,000000000000000005,0.885,Active Import Interval (kW),01-01-2025 10:30
99999999905,000000000000000005,0.865,Active Import Interval (kW),01-01-2025 11:00
99999999905,000000000000000005,0.891,Active Import Interval (kW),01-01-2025 11:30
99999999905,000000000000000005,0.803,Active Import Interval (kW),01-01-2025 12:00
99999999905,000000000000000005,0.802,Active Import Interval (kW),01-01-2025 12:30
99999999905,000000000000000005,0.92,Active Import Interval (kW),01-01-2025 13:00
99999999905,000000000000000005,0.924,Active Import Interval (kW),01-01-2025 13:30
99999999905,000000000000000005,0.894,Active Import Interval (kW),01-01-2025 14:00
99999999905,000000000000000005,0.831,Active Import Interval (kW),01-01-2025 14:30
99999999905,000000000000000005,0.91,Active Import Interval (kW),01-01-2025 15:00
99999999905,000000000000000005,0.813,Active Import Interval (kW),01-01-2025 15:30
99999999905,000000000000000005,0.849,Active Import Interval (kW),01-01-2025 16:00
99999999905,000000000000000005,0.75,Active Import Interval (kW),01-01-2025 16:30
99999999905,000000000000000005,0.914,Active Import Interval (kW),01-01-2025 17:00
99999999905,000000000000000005,2.235,Active Import Interval (kW),01-01-2025 17:30
99999999905,000000000000000005,2.185,Active Import Interval (kW),01-01-2025 18:00
99999999905,000000000000000005,1.955,Active Import Interval (kW),01-01-2025 18:30
99999999905,000000000000000005,2.131,Active Import Interval (kW),01-01-2025 19:00
99999999905,000000000000000005,2.242,Active Import Interval (kW),01-01-2025 19:30
99999999905,000000000000000005,2.162,Active Import Interval (kW),01-01-2025 20:00
99999999905,000000000000000005,2.275,Active Import Interval (kW),01-01-2025 20:30
99999999905,000000000000000005,2.541,Active Import Interval (kW),01-01-2025 21:00
99999999905,000000000000000005,2.373,Active Import Interval (kW),01-01-2025 21:30
99999999905,000000000000000005,2.378,Active Import Interval (kW),01-01-2025 22:00
99999999905,000000000000000005,1.243,Active Import Interval (kW),01-01-2025 22:30
99999999905,000000000000000005,1.228,Active Import Interval (kW),01-01-2025 23:00
99999999905,000000000000000005,0.357,Active Import Interval (kW),01-01-2025 23:30
99999999905,000000000000000005,0.36,Active Import Interval (kW),02-01-2025 00:00
99999999905,000000000000000005,0.422,Active Import Interval (kW),02-01-2025 00:30
99999999905,000000000000000005,0.353,Active Import Interval (kW),02-01-2025 01:00
99999999905,000000000000000005,0.375,Active Import Interval (kW),02-01-2025 01:30
99999999905,000000000000000005,0.331,Active Import Interval (kW),02-01-2025 02:00
99999999905,000000000000000005,0.393,Active Import Interval (kW),02-01-2025 02:30
99999999905,000000000000000005,0.345,Active Import Interval (kW),02-01-2025 03:00
99999999905,000000000000000005,0.426,Active Import Interval (kW),02-01-2025 03:30
99999999905,000000000000000005,0.335,Active Import Interval (kW),02-01-2025 04:00
99999999905,000000000000000005,0.407,Active Import Interval (kW),02-01-2025 04:30
99999999905,000000000000000005,0.368,Active Import Interval (kW),02-01-2025 05:00
