MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
99999999904,000000000000000004,0.267,Active Import Interval (kW),01-01-2025 00:30
99999999904,000000000000000004,0.245,Active Import Interval (kW),01-01-2025 01:00
99999999904,000000000000000004,0.251,Active Import Interval (kW),01-01-2025 01:30
99999999904,000000000000000004,0.255,Active Import Interval (kW),01-01-2025 02:00
99999999904,000000000000000004,0.222,Active Import Interval (kW),01-01-2025 02:30
99999999904,000000000000000004,0.208,Active Import Interval (kW),01-01-2025 03:00
99999999904,000000000000000004,0.217,Active Import Interval (kW),01-01-2025 03:30
99999999904,000000000000000004,0.245,Active Import Interval (kW),01-01-2025 04:00
99999999904,000000000000000004,0.258,Active Import Interval (kW),01-01-2025 04:30
99999999904,000000000000000004,0.241,Active Import Interval (kW),01-01-2025 05:00
99999999904,000000000000000004,0.212,Active Import Interval (kW),01-01-2025 05:30
99999999904,000000000000000004,0.265,Active Import Interval (kW),01-01-2025 06:00
99999999904,000000000000000004,0.519,Active Import Interval (kW),01-01-2025 06:30
99999999904,000000000000000004,0.572,Active Import Interval (kW),01-01-2025 07:00
99999999904,000000000000000004,1.251,Active Import Interval (kW),01-01-2025 07:30
99999999904,000000000000000004,1.337,Active Import Interval (kW),01-01-2025 08:00
99999999904,000000000000000004,1.425,Active Import Interval (kW),01-01-2025 08:30
99999999904,000000000000000004,1.154,Active Import Interval (kW),01-01-2025 09:00
99999999904,000000000000000004,0.522,Active Import Interval (kW),01-01-2025 09:30
99999999904,000000000000000004,0.55,Active Import Interval (kW),01-01-2025 10:00
99999999904,000000000000000004,0.486,Active Import Interval (kW),01-01-2025 10:30
99999999904,000000000000000004,0.532,Active Import Interval (kW),01-01-2025 11:00
99999999904,000000000000000004,0.544,Active Import Interval (kW),01-01-2025 11:30
99999999904,000000000000000004,0.479,Active Import Interval (kW),01-01-2025 12:00
99999999904,000000000000000004,0.48,Active Import Interval (kW),01-01-2025 12:30
99999999904,000000000000000004,0.534,Active Import Interval (kW),01-01-2025 13:00
99999999904,000000000000000004,0.526,Active Import Interval (kW),01-01-2025 13:30
99999999904,000000000000000004,0.546,Active Import Interval (kW),01-01-2025 14:00
99999999904,000000000000000004,0.631,Active Import Interval (kW),01-01-2025 14:30
99999999904,000000000000000004,0.574,Active Import Interval (kW),01-01-2025 15:00
99999999904,000000000000000004,0.555,Active Import Interval (kW),01-01-2025 15:30
99999999904,000000000000000004,0.506,Active Import Interval (kW),01-01-2025 16:00
99999999904,000000000000000004,0.576,Active Import Interval (kW),01-01-2025 16:30
99999999904,000000000000000004,0.503,Active Import Interval (kW),01-01-2025 17:00
99999999904,000000000000000004,1.609,Active Import Interval (kW),01-01-2025 17:30
99999999904,000000000000000004,1.565,Active Import Interval (kW),01-01-2025 18:00
99999999904,000000000000000004,1.2,Active Import Interval (kW),01-01-2025 18:30
99999999904,000000000000000004,1.295,Active Import Interval (kW),01-01-2025 19:00
99999999904,000000000000000004,1.408,Active Import Interval (kW),01-01-2025 19:30
99999999904,000000000000000004,1.384,Active Import Interval (kW),01-01-2025 20:00
99999999904,000000000000000004,1.285,Active Import Interval (kW),01-01-2025 20:30
99999999904,000000000000000004,1.289,Active Import Interval (kW),01-01-2025 21:00
99999999904,000000000000000004,1.512,Active Import Interval (kW),01-01-2025 21:30
99999999904,000000000000000004,1.369,Active Import Interval (kW),01-01-2025 22:00
99999999904,000000000000000004,0.68,Active Import Interval (kW),01-01-2025 22:30
99999999904,000000000000000004,0.757,Active Import Interval (kW),01-01-2025 23:00
99999999904,000000000000000004,0.257,Active Import Interval (kW),01-01-2025 23:30
99999999904,000000000000000004,0.27,Active Import Interval (kW),02-01-2025 00:00
99999999904,000000000000000004,0.239,Active Import Interval (kW),02-01-2025 00:30
99999999904,000000000000000004,0.232,Active Import Interval (kW),02-01-2025 01:00
99999999904,000000000000000004,0.223,Active Import Interval (kW),02-01-2025 01:30
99999999904,000000000000000004,0.228,Active Import Interval (kW),02-01-2025 02:00
99999999904,000000000000000004,0.248,Active Import Interval (kW),02-01-2025 02:30
99999999904,000000000000000004,0.262,Active Import Interval (kW),02-01-2025 03:00
99999999904,000000000000000004,0.262,Active Import Interval (kW),02-01-2025 03:30
99999999904,000000000000000004,0.234,Active Import Interval (kW),02-01-2025 04:00
99999999904,000000000000000004,0.255,Active Import Interval (kW),02-01-2025 04:30
99999999904,000000000000000004,0.253,Active Import Interval (kW),02-01-2025 05:00
99999999904,000000000000000004,0.247,Active Import Interval (kW),02-01-2025 05:30
99999999904,000000000000000004,0.192,Active Import Interval (kW),02-01-2025 06:00
99999999904,000000000000000004,0.593,Active Import Interval (kW),02-01-2025 06:30
99999999904,000000000000000004,0.582,Active Import Interval (kW),02-01-2025 07:00
99999999904,000000000000000004,1.449,Active Import Interval (kW),02-01-2025 07:30
99999999904,000000000000000004,1.281,Active Import Interval (kW),02-01-2025 08:00
99999999904,000000000000000004,1.358,Active Import Interval (kW),02-01-2025 08:30
99999999904,000000000000000004,1.338,Active Import Interval (kW),02-01-2025 09:00
99999999904,000000000000000004,0.59,Active Import Interval (kW),02-01-2025 09:30
99999999904,000000000000000004,0.569,Active Import Interval (kW),02-01-2025 10:00
99999999904,000000000000000004,0.58,Active Import Interval (kW),02-01-2025 10:30
99999999904,000000000000000004,0.6,Active Import Interval (kW),02-01-2025 11:00
99999999904,000000000000000004,0.577,Active Import Interval (kW),02-01-2025 11:30
99999999904,000000000000000004,0.57,Active Import Interval (kW),02-01-2025 12:00
99999999904,000000000000000004,0.525,Active Import Interval (kW),02-01-2025 12:30
99999999904,000000000000000004,0.54,Active Import Interval (kW),02-01-2025 13:00
99999999904,000000000000000004,0.629,Active Import Interval (kW),02-01-2025 13:30
99999999904,000000000000000004,0.538,Active Import Interval (kW),02-01-2025 14:00
99999999904,000000000000000004,0.558,Active Import Interval (kW),02-01-2025 14:30
99999999904,000000000000000004,0.533,Active Import Interval (kW),02-01-2025 15:00
99999999904,000000000000000004,0.524,Active Import Interval (kW),02-01-2025 15:30
99999999904,000000000000000004,0.408,Active Import Interval (kW),02-01-2025 16:00
99999999904,000000000000000004,0.609,Active Import Interval (kW),02-01-2025 16:30
99999999904,000000000000000004,0.485,Active Import Interval (kW),02-01-2025 17:00
99999999904,000000000000000004,1.334,Active Import Interval (kW),02-01-2025 17:30
99999999904,000000000000000004,1.584,Active Import Interval (kW),02-01-2025 18:00
99999999904,000000000000000004,1.16,Active Import Interval (kW),02-01-2025 18:30
99999999904,000000000000000004,1.433,Active Import Interval (kW),02-01-2025 19:00
99999999904,000000000000000004,1.365,Active Import Interval (kW),02-01-2025 19:30
99999999904,000000000000000004,1.219,Active Import Interval (kW),02-01-2025 20:00
99999999904,000000000000000004,1.5,Active Import Interval (kW),02-01-2025 20:30
99999999904,000000000000000004,1.341,Active Import Interval (kW),02-01-2025 21:00
99999999904,000000000000000004,1.418,Active Import Interval (kW),02-01-2025 21:30
99999999904,000000000000000004,1.38,Active Import Interval (kW),02-01-2025 22:00
99999999904,000000000000000004,0.814,Active Import Interval (kW),02-01-2025 22:30
99999999904,000000000000000004,0.914,Active Import Interval (kW),02-01-2025 23:00
99999999904,000000000000000004,0.214,Active Import Interval (kW),02-01-2025 23:30
99999999904,000000000000000004,0.255,Active Import Interval (kW),03-01-2025 00:00
99999999904,000000000000000004,0.225,Active Import Interval (kW),03-01-2025 00:30
99999999904,000000000000000004,0.231,Active Import Interval (kW),03-01-2025 01:00
99999999904,000000000000000004,0.202,Active Import Interval (kW),03-01-2025 01:30
99999999904,000000000000000004,0.217,Active Import Interval (kW),03-01-2025 02:00
99999999904,000000000000000004,0.23,Active Import Interval (kW),03-01-2025 02:30
99999999904,000000000000000004,0.254,Active Import Interval (kW),03-01-2025 03:00
99999999904,000000000000000004,0.243,Active Import Interval (kW),03-01-2025 03:30
99999999904,000000000000000004,0.249,Active Import Interval (kW),03-01-2025 04:00
99999999904,000000000000000004,0.252,Active Import Interval (kW),03-01-2025 04:30
99999999904,000000000000000004,0.212,Active Import Interval (kW),03-01-2025 05:00
