MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10013715764,000000000024641939,0.424,Active Import Interval (kW),20-02-2026 03:00
10013715764,000000000024641939,0.416,Active Import Interval (kW),20-02-2026 02:30
10013715764,000000000024641939,0.388,Active Import Interval (kW),20-02-2026 02:00
10013715764,000000000024641939,0.422,Active Import Interval (kW),20-02-2026 01:30
10013715764,000000000024641939,0.370,Active Import Interval (kW),20-02-2026 01:00
10013715764,000000000024641939,0.412,Active Import Interval (kW),20-02-2026 00:30
10013715764,000000000024641939,0.410,Active Import Interval (kW),20-02-2026 00:00
10013715764,000000000024641939,0.326,Active Import Interval (kW),19-02-2026 23:30
10013715764,000000000024641939,2.470,Active Import Interval (kW),19-02-2026 23:00
10013715764,000000000024641939,2.322,Active Import Interval (kW),19-02-2026 22:30
10013715764,000000000024641939,2.378,Active Import Interval (kW),19-02-2026 22:00
10013715764,000000000024641939,2.638,Active Import Interval (kW),19-02-2026 21:30
10013715764,000000000024641939,2.906,Active Import Interval (kW),19-02-2026 21:00
10013715764,000000000024641939,3.276,Active Import Interval (kW),19-02-2026 20:30
10013715764,000000000024641939,2.392,Active Import Interval (kW),19-02-2026 20:00
10013715764,000000000024641939,6.454,Active Import Interval (kW),19-02-2026 19:30
10013715764,000000000024641939,1.404,Active Import Interval (kW),19-02-2026 19:00
10013715764,000000000024641939,0.350,Active Import Interval (kW),19-02-2026 18:30
10013715764,000000000024641939,0.816,Active Import Interval (kW),19-02-2026 18:00
10013715764,000000000024641939,0.554,Active Import Interval (kW),19-02-2026 17:30
10013715764,000000000024641939,4.304,Active Import Interval (kW),19-02-2026 17:00
10013715764,000000000024641939,3.852,Active Import Interval (kW),19-02-2026 16:30
10013715764,000000000024641939,2.616,Active Import Interval (kW),19-02-2026 16:00
10013715764,000000000024641939,2.592,Active Import Interval (kW),19-02-2026 15:30
10013715764,000000000024641939,2.660,Active Import Interval (kW),19-02-2026 15:00
10013715764,000000000024641939,2.372,Active Import Interval (kW),19-02-2026 14:30
10013715764,000000000024641939,3.018,Active Import Interval (kW),19-02-2026 14:00
10013715764,000000000024641939,2.712,Active Import Interval (kW),19-02-2026 13:30
10013715764,000000000024641939,3.692,Active Import Interval (kW),19-02-2026 13:00
10013715764,000000000024641939,4.156,Active Import Interval (kW),19-02-2026 12:30
10013715764,000000000024641939,2.986,Active Import Interval (kW),19-02-2026 12:00
10013715764,000000000024641939,3.050,Active Import Interval (kW),19-02-2026 11:30
10013715764,000000000024641939,3.100,Active Import Interval (kW),19-02-2026 11:00
10013715764,000000000024641939,2.848,Active Import Interval (kW),19-02-2026 10:30
10013715764,000000000024641939,3.588,Active Import Interval (kW),19-02-2026 10:00
10013715764,000000000024641939,3.358,Active Import Interval (kW),19-02-2026 09:30
10013715764,000000000024641939,4.956,Active Import Interval (kW),19-02-2026 09:00
10013715764,000000000024641939,6.224,Active Import Interval (kW),19-02-2026 08:30
10013715764,000000000024641939,4.698,Active Import Interval (kW),19-02-2026 08:00
10013715764,000000000024641939,6.100,Active Import Interval (kW),19-02-2026 07:30
10013715764,000000000024641939,3.108,Active Import Interval (kW),19-02-2026 07:00
10013715764,000000000024641939,4.240,Active Import Interval (kW),19-02-2026 06:30
10013715764,000000000024641939,3.864,Active Import Interval (kW),19-02-2026 06:00
10013715764,000000000024641939,4.564,Active Import Interval (kW),19-02-2026 05:30
10013715764,000000000024641939,4.104,Active Import Interval (kW),19-02-2026 05:00
10013715764,000000000024641939,1.964,Active Import Interval (kW),19-02-2026 04:30
10013715764,000000000024641939,1.304,Active Import Interval (kW),19-02-2026 04:00
10013715764,000000000024641939,1.000,Active Import Interval (kW),19-02-2026 03:30
10013715764,000000000024641939,0.496,Active Import Interval (kW),19-02-2026 03:00
10013715764,000000000024641939,0.518,Active Import Interval (kW),19-02-2026 02:30
10013715764,000000000024641939,0.470,Active Import Interval (kW),19-02-2026 02:00
10013715764,000000000024641939,0.434,Active Import Interval (kW),19-02-2026 01:30
10013715764,000000000024641939,0.484,Active Import Interval (kW),19-02-2026 01:00
10013715764,000000000024641939,0.564,Active Import Interval (kW),19-02-2026 00:30
10013715764,000000000024641939,0.622,Active Import Interval (kW),19-02-2026 00:00
10013715764,000000000024641939,0.640,Active Import Interval (kW),18-02-2026 23:30
10013715764,000000000024641939,2.452,Active Import Interval (kW),18-02-2026 23:00
10013715764,000000000024641939,2.592,Active Import Interval (kW),18-02-2026 22:30
10013715764,000000000024641939,2.648,Active Import Interval (kW),18-02-2026 22:00
10013715764,000000000024641939,2.910,Active Import Interval (kW),18-02-2026 21:30
10013715764,000000000024641939,3.362,Active Import Interval (kW),18-02-2026 21:00
10013715764,000000000024641939,3.270,Active Import Interval (kW),18-02-2026 20:30
10013715764,000000000024641939,3.248,Active Import Interval (kW),18-02-2026 20:00
10013715764,000000000024641939,5.162,Active Import Interval (kW),18-02-2026 19:30
10013715764,000000000024641939,0.570,Active Import Interval (kW),18-02-2026 19:00
10013715764,000000000024641939,0.372,Active Import Interval (kW),18-02-2026 18:30
10013715764,000000000024641939,0.954,Active Import Interval (kW),18-02-2026 18:00
10013715764,000000000024641939,0.568,Active Import Interval (kW),18-02-2026 17:30
10013715764,000000000024641939,4.064,Active Import Interval (kW),18-02-2026 17:00
10013715764,000000000024641939,4.230,Active Import Interval (kW),18-02-2026 16:30
10013715764,000000000024641939,3.100,Active Import Interval (kW),18-02-2026 16:00
10013715764,000000000024641939,3.080,Active Import Interval (kW),18-02-2026 15:30
10013715764,000000000024641939,3.162,Active Import Interval (kW),18-02-2026 15:00
10013715764,000000000024641939,2.960,Active Import Interval (kW),18-02-2026 14:30
10013715764,000000000024641939,3.490,Active Import Interval (kW),18-02-2026 14:00
10013715764,000000000024641939,3.022,Active Import Interval (kW),18-02-2026 13:30
10013715764,000000000024641939,4.280,Active Import Interval (kW),18-02-2026 13:00
10013715764,000000000024641939,4.520,Active Import Interval (kW),18-02-2026 12:30
10013715764,000000000024641939,3.516,Active Import Interval (kW),18-02-2026 12:00
10013715764,000000000024641939,3.770,Active Import Interval (kW),18-02-2026 11:30
10013715764,000000000024641939,3.630,Active Import Interval (kW),18-02-2026 11:00
10013715764,000000000024641939,3.384,Active Import Interval (kW),18-02-2026 10:30
10013715764,000000000024641939,4.092,Active Import Interval (kW),18-02-2026 10:00
10013715764,000000000024641939,3.614,Active Import Interval (kW),18-02-2026 09:30
10013715764,000000000024641939,5.414,Active Import Interval (kW),18-02-2026 09:00
10013715764,000000000024641939,7.092,Active Import Interval (kW),18-02-2026 08:30
10013715764,000000000024641939,5.796,Active Import Interval (kW),18-02-2026 08:00
10013715764,000000000024641939,6.158,Active Import Interval (kW),18-02-2026 07:30
10013715764,000000000024641939,3.320,Active Import Interval (kW),18-02-2026 07:00
10013715764,000000000024641939,5.102,Active Import Interval (kW),18-02-2026 06:30
10013715764,000000000024641939,3.090,Active Import Interval (kW),18-02-2026 06:00
10013715764,000000000024641939,4.674,Active Import Interval (kW),18-02-2026 05:30
10013715764,000000000024641939,4.056,Active Import Interval (kW),18-02-2026 05:00
10013715764,000000000024641939,2.932,Active Import Interval (kW),18-02-2026 04:30
10013715764,000000000024641939,1.350,Active Import Interval (kW),18-02-2026 04:00
10013715764,000000000024641939,0.980,Active Import Interval (kW),18-02-2026 03:30
10013715764,000000000024641939,0.540,Active Import Interval (kW),18-02-2026 03:00
10013715764,000000000024641939,0.486,Active Import Interval (kW),18-02-2026 02:30
10013715764,000000000024641939,0.476,Active Import Interval (kW),18-02-2026 02:00
10013715764,000000000024641939,0.460,Active Import Interval (kW),18-02-2026 01:30
