MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10013715764,000000000024641939,2.378,Active Import Interval (kW),01-01-2026 00:00
10013715764,000000000024641939,2.764,Active Import Interval (kW),31-12-2025 23:30
10013715764,000000000024641939,3.070,Active Import Interval (kW),31-12-2025 23:00
10013715764,000000000024641939,4.136,Active Import Interval (kW),31-12-2025 22:30
10013715764,000000000024641939,3.750,Active Import Interval (kW),31-12-2025 22:00
10013715764,000000000024641939,3.528,Active Import Interval (kW),31-12-2025 21:30
10013715764,000000000024641939,2.480,Active Import Interval (kW),31-12-2025 21:00
10013715764,000000000024641939,4.304,Active Import Interval (kW),31-12-2025 20:30
10013715764,000000000024641939,5.782,Active Import Interval (kW),31-12-2025 20:00
10013715764,000000000024641939,4.186,Active Import Interval (kW),31-12-2025 19:30
10013715764,000000000024641939,4.052,Active Import Interval (kW),31-12-2025 19:00
10013715764,000000000024641939,2.860,Active Import Interval (kW),31-12-2025 18:30
10013715764,000000000024641939,4.370,Active Import Interval (kW),31-12-2025 18:00
10013715764,000000000024641939,3.332,Active Import Interval (kW),31-12-2025 17:30
10013715764,000000000024641939,5.574,Active Import Interval (kW),31-12-2025 17:00
10013715764,000000000024641939,5.840,Active Import Interval (kW),31-12-2025 16:30
10013715764,000000000024641939,4.076,Active Import Interval (kW),31-12-2025 16:00
10013715764,000000000024641939,3.044,Active Import Interval (kW),31-12-2025 15:30
10013715764,000000000024641939,8.870,Active Import Interval (kW),31-12-2025 15:00
10013715764,000000000024641939,6.578,Active Import Interval (kW),31-12-2025 14:30
10013715764,000000000024641939,4.436,Active Import Interval (kW),31-12-2025 14:00
10013715764,000000000024641939,3.748,Active Import Interval (kW),31-12-2025 13:30
10013715764,000000000024641939,5.560,Active Import Interval (kW),31-12-2025 13:00
10013715764,000000000024641939,4.952,Active Import Interval (kW),31-12-2025 12:30
10013715764,000000000024641939,7.088,Active Import Interval (kW),31-12-2025 12:00
10013715764,000000000024641939,5.452,Active Import Interval (kW),31-12-2025 11:30
10013715764,000000000024641939,6.880,Active Import Interval (kW),31-12-2025 11:00
10013715764,000000000024641939,5.614,Active Import Interval (kW),31-12-2025 10:30
10013715764,000000000024641939,6.022,Active Import Interval (kW),31-12-2025 10:00
10013715764,000000000024641939,6.322,Active Import Interval (kW),31-12-2025 09:30
10013715764,000000000024641939,6.186,Active Import Interval (kW),31-12-2025 09:00
10013715764,000000000024641939,4.822,Active Import Interval (kW),31-12-2025 08:30
10013715764,000000000024641939,4.480,Active Import Interval (kW),31-12-2025 08:00
10013715764,000000000024641939,7.130,Active Import Interval (kW),31-12-2025 07:30
10013715764,000000000024641939,5.506,Active Import Interval (kW),31-12-2025 07:00
10013715764,000000000024641939,6.362,Active Import Interval (kW),31-12-2025 06:30
10013715764,000000000024641939,3.678,Active Import Interval (kW),31-12-2025 06:00
10013715764,000000000024641939,3.824,Active Import Interval (kW),31-12-2025 05:30
10013715764,000000000024641939,1.574,Active Import Interval (kW),31-12-2025 05:00
10013715764,000000000024641939,0.514,Active Import Interval (kW),31-12-2025 04:30
10013715764,000000000024641939,0.512,Active Import Interval (kW),31-12-2025 04:00
10013715764,000000000024641939,0.540,Active Import Interval (kW),31-12-2025 03:30
10013715764,000000000024641939,0.510,Active Import Interval (kW),31-12-2025 03:00
