Latitude (decimal degrees):	54.3285
Longitude (decimal degrees):	-5.7178
Source:	Open-Meteo Historical Weather API (ERA5/ECMWF)
Location:	Down

time,temperature_2m
20250101:0000,7.1
20250101:0030,6.9
20250101:0100,6.8
20250101:0130,6.5
20250101:0200,6.3
20250101:0230,6.2
20250101:0300,6.2
20250101:0330,6.1
20250101:0400,6.0
20250101:0430,6.2
20250101:0500,6.3
20250101:0530,6.2
20250101:0600,6.2
20250101:0630,6.0
20250101:0700,5.7
20250101:0730,5.6
20250101:0800,5.5
20250101:0830,5.5
20250101:0900,5.5
20250101:0930,5.5
20250101:1000,5.4
20250101:1030,5.6
20250101:1100,5.8
20250101:1130,5.8
20250101:1200,5.9
20250101:1230,6.0
20250101:1300,6.1
20250101:1330,5.8
20250101:1400,5.5
20250101:1430,5.1
20250101:1500,4.7
20250101:1530,4.6
20250101:1600,4.4
20250101:1630,4.5
20250101:1700,4.5
20250101:1730,4.5
20250101:1800,4.5
20250101:1830,4.0
20250101:1900,3.5
20250101:1930,3.5
20250101:2000,3.5
20250101:2030,3.0
20250101:2100,2.4
20250101:2130,2.0
20250101:2200,1.7
20250101:2230,1.6
20250101:2300,1.5
20250101:2330,1.4
20250102:0000,1.3
20250102:0030,1.1
20250102:0100,0.9
20250102:0130,0.9
20250102:0200,0.8
20250102:0230,0.8
20250102:0300,0.8
20250102:0330,0.7
20250102:0400,0.6
20250102:0430,0.4
20250102:0500,0.2
20250102:0530,0.2
20250102:0600,0.2
20250102:0630,0.2
20250102:0700,0.3
20250102:0730,0.3
20250102:0800,0.4
20250102:0830,0.4
20250102:0900,0.4
20250102:0930,0.8
20250102:1000,1.1
20250102:1030,1.7
20250102:1100,2.2
20250102:1130,2.5
20250102:1200,2.9
20250102:1230,3.0
20250102:1300,3.0
20250102:1330,2.9
20250102:1400,2.8
20250102:1430,2.5
20250102:1500,2.2
20250102:1530,1.8
20250102:1600,1.3
20250102:1630,1.1
20250102:1700,0.8
20250102:1730,0.7
20250102:1800,0.5
20250102:1830,0.3
20250102:1900,0.2
20250102:1930,0.1
20250102:2000,-0.1
20250102:2030,-0.1
20250102:2100,-0.1
20250102:2130,-0.2
20250102:2200,-0.2
20250102:2230,-0.2
20250102:2300,-0.3
20250102:2330,-0.3
20250103:0000,-0.4
20250103:0030,-0.3
20250103:0100,-0.3
20250103:0130,-0.2
20250103:0200,-0.1
20250103:0230,0.1
20250103:0300,0.3
20250103:0330,0.5
20250103:0400,0.7
20250103:0430,0.8
20250103:0500,0.9
20250103:0530,1.1
20250103:0600,1.2
20250103:0630,1.3
20250103:0700,1.4
20250103:0730,1.4
20250103:0800,1.4
20250103:0830,1.4
20250103:0900,1.4
20250103:0930,1.6
20250103:1000,1.9
20250103:1030,2.3
20250103:1100,2.8
20250103:1130,3.5
20250103:1200,4.2
20250103:1230,4.2
20250103:1300,4.3
20250103:1330,4.2
20250103:1400,4.2
20250103:1430,4.1
20250103:1500,4.0
20250103:1530,3.6
20250103:1600,3.2
20250103:1630,2.9
20250103:1700,2.6
20250103:1730,2.4
20250103:1800,2.2
20250103:1830,2.1
20250103:1900,2.0
20250103:1930,1.9
20250103:2000,1.9
20250103:2030,1.8
20250103:2100,1.6
20250103:2130,1.6
20250103:2200,1.5
20250103:2230,1.4
20250103:2300,1.4
20250103:2330,1.4
20250104:0000,1.4
20250104:0030,1.2
20250104:0100,1.1
20250104:0130,1.3
20250104:0200,1.5
20250104:0230,1.4
20250104:0300,1.2
20250104:0330,1.1
20250104:0400,1.0
20250104:0430,0.9
20250104:0500,0.8
20250104:0530,0.6
20250104:0600,0.4
20250104:0630,0.3
20250104:0700,0.2
20250104:0730,0.2
20250104:0800,0.2
20250104:0830,0.3
20250104:0900,0.4
20250104:0930,0.7
20250104:1000,1.0
20250104:1030,1.4
20250104:1100,1.9
20250104:1130,2.2
