Latitude (decimal degrees):	53.835
Longitude (decimal degrees):	-7.072
Elevation (m):	101
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 100 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,5.63,1.45,0.0
20200101:0111,0.0,0.0,5.85,1.52,0.0
20200101:0211,0.0,0.0,5.67,1.79,0.0
20200101:0311,0.0,0.0,5.57,1.93,0.0
20200101:0411,0.0,0.0,4.94,2.07,0.0
20200101:0511,0.0,0.0,4.41,2.0,0.0
20200101:0611,0.0,0.0,4.02,2.0,0.0
20200101:0711,0.0,0.0,3.8,1.93,0.0
20200101:0811,0.0,0.0,3.74,2.07,0.0
20200101:0911,1.0,1.86,3.72,2.21,0.0
20200101:1011,14.0,7.39,3.93,2.21,0.0
20200101:1111,90.0,11.21,4.77,2.0,0.0
20200101:1211,153.0,13.03,5.11,2.55,0.0
20200101:1311,34.0,12.69,5.7,2.28,0.0
20200101:1411,14.0,10.21,6.0,2.55,0.0
20200101:1511,40.0,5.82,6.07,2.9,0.0
20200101:1611,0.0,0.0,5.5,2.97,0.0
20200101:1711,0.0,0.0,5.15,3.17,0.0
20200101:1811,0.0,0.0,5.03,3.31,0.0
20200101:1911,0.0,0.0,5.24,3.45,0.0
20200101:2011,0.0,0.0,5.38,3.59,0.0
20200101:2111,0.0,0.0,5.58,3.86,0.0
20200101:2211,0.0,0.0,5.73,4.14,0.0
20200101:2311,0.0,0.0,6.09,4.34,0.0
20200102:0011,0.0,0.0,6.19,4.48,0.0
20200102:0111,0.0,0.0,6.59,4.69,0.0
20200102:0211,0.0,0.0,6.78,4.76,0.0
20200102:0311,0.0,0.0,6.97,4.83,0.0
20200102:0411,0.0,0.0,6.98,4.9,0.0
20200102:0511,0.0,0.0,7.01,4.9,0.0
20200102:0611,0.0,0.0,7.08,4.9,0.0
20200102:0711,0.0,0.0,7.75,4.97,0.0
20200102:0811,0.0,0.0,8.09,5.24,0.0
20200102:0911,2.0,1.89,8.44,5.31,0.0
20200102:1011,36.0,7.43,8.86,5.52,0.0
20200102:1111,21.0,11.27,9.16,5.72,0.0
20200102:1211,108.0,13.11,9.23,5.72,0.0
20200102:1311,40.0,12.78,9.49,5.45,0.0
20200102:1411,53.0,10.32,9.98,5.45,0.0
20200102:1511,46.0,5.94,10.51,5.93,0.0
20200102:1611,0.0,0.0,10.33,5.79,0.0
20200102:1711,0.0,0.0,10.08,5.66,0.0
20200102:1811,0.0,0.0,10.07,5.59,0.0
20200102:1911,0.0,0.0,10.08,5.1,0.0
20200102:2011,0.0,0.0,10.0,4.76,0.0
20200102:2111,0.0,0.0,9.86,4.28,0.0
20200102:2211,0.0,0.0,9.27,4.07,0.0
20200102:2311,0.0,0.0,7.67,5.03,0.0
20200103:0011,0.0,0.0,6.58,4.34,0.0
20200103:0111,0.0,0.0,5.94,3.86,0.0
20200103:0211,0.0,0.0,5.48,3.72,0.0
20200103:0311,0.0,0.0,5.13,3.38,0.0
20200103:0411,0.0,0.0,4.73,3.17,0.0
20200103:0511,0.0,0.0,4.35,3.1,0.0
20200103:0611,0.0,0.0,4.13,2.83,0.0
20200103:0711,0.0,0.0,3.85,2.9,0.0
20200103:0811,0.0,0.0,3.51,2.69,0.0
20200103:0911,2.0,1.93,3.25,2.69,0.0
20200103:1011,66.0,7.49,3.56,2.83,0.0
20200103:1111,161.99,11.34,4.52,2.97,0.0
20200103:1211,195.0,13.19,5.41,2.55,0.0
20200103:1311,196.0,12.88,6.05,2.9,0.0
20200103:1411,119.0,10.44,6.37,3.59,0.0
20200103:1511,60.0,6.06,6.44,3.24,0.0
20200103:1611,0.0,0.0,5.89,2.97,0.0
20200103:1711,0.0,0.0,5.44,3.03,0.0
20200103:1811,0.0,0.0,5.26,2.97,0.0
20200103:1911,0.0,0.0,5.86,3.59,0.0
20200103:2011,0.0,0.0,6.17,3.66,0.0
20200103:2111,0.0,0.0,6.33,3.79,0.0
20200103:2211,0.0,0.0,6.36,3.86,0.0
20200103:2311,0.0,0.0,6.35,3.72,0.0
20200104:0011,0.0,0.0,6.33,3.72,0.0
20200104:0111,0.0,0.0,6.31,3.79,0.0
20200104:0211,0.0,0.0,6.37,3.66,0.0
20200104:0311,0.0,0.0,6.33,3.59,0.0
20200104:0411,0.0,0.0,6.44,3.59,0.0
20200104:0511,0.0,0.0,6.48,3.52,0.0
20200104:0611,0.0,0.0,6.45,3.45,0.0
20200104:0711,0.0,0.0,6.08,3.45,0.0
20200104:0811,0.0,0.0,6.05,3.24,0.0
20200104:0911,1.0,1.97,5.94,3.1,0.0
20200104:1011,28.0,7.55,6.29,3.03,0.0
20200104:1111,76.0,11.42,6.85,2.69,0.0
20200104:1211,42.0,13.29,7.33,2.55,0.0
20200104:1311,28.0,12.99,7.47,2.41,0.0
20200104:1411,20.0,10.56,7.74,2.62,0.0
20200104:1511,17.0,6.2,7.68,3.03,0.0
20200104:1611,0.0,0.0,7.32,2.9,0.0
20200104:1711,0.0,0.0,7.21,2.9,0.0
20200104:1811,0.0,0.0,7.2,2.97,0.0
20200104:1911,0.0,0.0,7.61,3.45,0.0
20200104:2011,0.0,0.0,7.76,3.59,0.0
20200104:2111,0.0,0.0,7.87,3.72,0.0
20200104:2211,0.0,0.0,7.93,3.79,0.0
20200104:2311,0.0,0.0,7.99,3.93,0.0
20200105:0011,0.0,0.0,7.9,3.86,0.0
20200105:0111,0.0,0.0,7.91,3.79,0.0
20200105:0211,0.0,0.0,8.05,3.86,0.0
20200105:0311,0.0,0.0,8.15,3.93,0.0
20200105:0411,0.0,0.0,8.01,4.0,0.0
20200105:0511,0.0,0.0,7.93,3.79,0.0
20200105:0611,0.0,0.0,7.84,3.72,0.0
20200105:0711,0.0,0.0,7.96,3.86,0.0
20200105:0811,0.0,0.0,8.11,4.0,0.0
20200105:0911,1.0,2.03,8.38,4.07,0.0
20200105:1011,28.0,7.61,8.74,4.21,0.0
20200105:1111,36.0,11.5,9.27,4.28,0.0
20200105:1211,54.0,13.39,9.64,4.34,0.0
20200105:1311,23.0,13.11,9.94,4.41,0.0
20200105:1411,54.0,10.69,10.15,4.34,0.0
20200105:1511,33.0,6.33,10.29,4.34,0.0
20200105:1611,0.0,0.0,10.03,4.21,0.0
20200105:1711,0.0,0.0,9.75,4.14,0.0
20200105:1811,0.0,0.0,9.51,4.28,0.0
20200105:1911,0.0,0.0,9.09,4.48,0.0
20200105:2011,0.0,0.0,8.71,4.69,0.0
20200105:2111,0.0,0.0,8.38,4.9,0.0
20200105:2211,0.0,0.0,8.05,5.03,0.0
20200105:2311,0.0,0.0,7.79,5.24,0.0
20200106:0011,0.0,0.0,7.73,5.45,0.0
20200106:0111,0.0,0.0,7.82,5.59,0.0
20200106:0211,0.0,0.0,8.02,5.93,0.0
20200106:0311,0.0,0.0,8.21,6.28,0.0
20200106:0411,0.0,0.0,8.15,6.55,0.0
20200106:0511,0.0,0.0,8.18,6.9,0.0
20200106:0611,0.0,0.0,8.44,7.17,0.0
20200106:0711,0.0,0.0,8.89,6.97,0.0
20200106:0811,0.0,0.0,8.9,6.97,0.0
20200106:0911,6.0,2.08,8.7,6.48,0.0
20200106:1011,31.0,7.69,8.91,5.59,0.0
20200106:1111,82.0,11.6,8.8,5.38,0.0
20200106:1211,141.0,13.5,8.34,4.83,0.0
20200106:1311,188.0,13.24,8.21,4.9,0.0
20200106:1411,151.0,10.83,8.28,5.52,0.0
20200106:1511,80.0,6.48,8.04,5.24,0.0
20200106:1611,0.0,0.0,7.45,4.69,0.0
20200106:1711,0.0,0.0,6.95,4.07,0.0
20200106:1811,0.0,0.0,6.61,3.59,0.0
20200106:1911,0.0,0.0,6.4,3.45,0.0
20200106:2011,0.0,0.0,5.92,3.24,0.0
20200106:2111,0.0,0.0,5.6,3.24,0.0
20200106:2211,0.0,0.0,5.43,3.38,0.0
20200106:2311,0.0,0.0,5.64,3.66,0.0
20200107:0011,0.0,0.0,6.39,4.07,0.0
20200107:0111,0.0,0.0,6.5,4.21,0.0
20200107:0211,0.0,0.0,6.89,4.62,0.0
20200107:0311,0.0,0.0,6.88,4.69,0.0
20200107:0411,0.0,0.0,7.5,5.17,0.0
20200107:0511,0.0,0.0,8.09,5.59,0.0
20200107:0611,0.0,0.0,8.79,5.86,0.0
20200107:0711,0.0,0.0,9.87,5.59,0.0
20200107:0811,0.0,0.0,10.61,5.66,0.0
20200107:0911,9.0,2.15,11.35,6.21,0.0
20200107:1011,8.0,7.77,12.06,6.62,0.0
20200107:1111,65.0,11.7,12.51,6.62,0.0
20200107:1211,188.0,13.62,12.8,6.69,0.0
20200107:1311,31.0,13.37,12.9,6.97,0.0
20200107:1411,20.0,10.97,12.86,6.76,0.0
20200107:1511,22.0,6.63,12.98,6.83,0.0
20200107:1611,0.0,0.0,13.17,7.17,0.0
20200107:1711,0.0,0.0,13.29,7.52,0.0
20200107:1811,0.0,0.0,12.9,7.79,0.0
20200107:1911,0.0,0.0,11.95,7.31,0.0
20200107:2011,0.0,0.0,11.31,7.17,0.0
20200107:2111,0.0,0.0,10.88,6.69,0.0
20200107:2211,0.0,0.0,10.4,6.07,0.0
20200107:2311,0.0,0.0,9.48,5.24,0.0
20200108:0011,0.0,0.0,8.52,4.76,0.0
20200108:0111,0.0,0.0,7.71,4.55,0.0
20200108:0211,0.0,0.0,7.03,4.28,0.0
20200108:0311,0.0,0.0,6.57,3.93,0.0
20200108:0411,0.0,0.0,6.04,3.66,0.0
20200108:0511,0.0,0.0,5.71,3.38,0.0
20200108:0611,0.0,0.0,5.47,3.17,0.0
20200108:0711,0.0,0.0,5.93,3.59,0.0
20200108:0811,0.0,0.0,5.86,3.45,0.0
20200108:0911,9.0,2.22,5.55,3.31,0.0
20200108:1011,75.0,7.86,5.61,3.1,0.0
20200108:1111,103.0,11.8,5.94,2.97,0.0
20200108:1211,147.0,13.74,6.4,2.83,0.0
20200108:1311,77.0,13.51,6.61,3.03,0.0
20200108:1411,59.0,11.12,6.69,2.9,0.0
20200108:1511,40.0,6.79,6.56,2.21,0.0
20200108:1611,0.0,0.0,6.11,1.52,0.0
20200108:1711,0.0,0.0,5.5,1.38,0.0
20200108:1811,0.0,0.0,5.04,1.59,0.0
20200108:1911,0.0,0.0,4.66,1.72,0.0
20200108:2011,0.0,0.0,4.56,2.0,0.0
20200108:2111,0.0,0.0,4.54,1.86,0.0
20200108:2211,0.0,0.0,4.41,2.0,0.0
20200108:2311,0.0,0.0,4.09,2.48,0.0
20200109:0011,0.0,0.0,3.79,2.97,0.0
20200109:0111,0.0,0.0,3.19,3.1,0.0
20200109:0211,0.0,0.0,3.14,3.31,0.0
20200109:0311,0.0,0.0,3.05,3.17,0.0
20200109:0411,0.0,0.0,2.77,2.76,0.0
20200109:0511,0.0,0.0,2.63,2.83,0.0
20200109:0611,0.0,0.0,2.69,2.83,0.0
20200109:0711,0.0,0.0,2.42,1.79,0.0
20200109:0811,0.0,0.0,2.23,1.38,0.0
20200109:0911,7.0,2.3,2.21,0.9,0.0
20200109:1011,101.99,7.96,2.43,0.62,0.0
20200109:1111,150.0,11.92,3.0,0.55,0.0
20200109:1211,203.0,13.88,3.51,0.41,0.0
20200109:1311,150.0,13.66,3.77,0.97,0.0
20200109:1411,84.0,11.28,3.98,1.59,0.0
20200109:1511,58.0,6.95,4.02,1.93,0.0
20200109:1611,0.0,0.0,3.83,1.59,0.0
20200109:1711,0.0,0.0,3.23,0.97,0.0
20200109:1811,0.0,0.0,2.56,1.24,0.0
20200109:1911,0.0,0.0,2.34,1.93,0.0
20200109:2011,0.0,0.0,2.0,2.28,0.0
20200109:2111,0.0,0.0,2.04,2.41,0.0
20200109:2211,0.0,0.0,2.59,2.48,0.0
20200109:2311,0.0,0.0,3.1,2.83,0.0
20200110:0011,0.0,0.0,3.42,3.24,0.0
20200110:0111,0.0,0.0,3.58,3.24,0.0
20200110:0211,0.0,0.0,3.24,2.97,0.0
20200110:0311,0.0,0.0,2.71,2.69,0.0
20200110:0411,0.0,0.0,2.25,2.76,0.0
20200110:0511,0.0,0.0,1.97,2.55,0.0
20200110:0611,0.0,0.0,1.81,2.28,0.0
20200110:0711,0.0,0.0,1.97,2.21,0.0
20200110:0811,0.0,0.0,2.05,2.34,0.0
20200110:0911,2.0,2.39,2.27,2.55,0.0
20200110:1011,78.0,8.06,2.97,2.97,0.0
20200110:1111,112.0,12.04,3.88,3.59,0.0
20200110:1211,205.0,14.02,4.8,3.72,0.0
20200110:1311,178.0,13.81,5.48,3.72,0.0
20200110:1411,109.0,11.44,5.98,5.1,0.0
20200110:1511,41.0,7.12,6.31,5.1,0.0
20200110:1611,0.0,0.0,6.21,5.03,0.0
20200110:1711,0.0,0.0,6.02,5.38,0.0
20200110:1811,0.0,0.0,6.45,5.86,0.0
20200110:1911,0.0,0.0,7.88,6.34,0.0
20200110:2011,0.0,0.0,8.57,6.34,0.0
20200110:2111,0.0,0.0,9.15,6.41,0.0
20200110:2211,0.0,0.0,9.61,6.62,0.0
20200110:2311,0.0,0.0,9.97,6.83,0.0
20200111:0011,0.0,0.0,10.27,6.97,0.0
20200111:0111,0.0,0.0,10.55,6.97,0.0
20200111:0211,0.0,0.0,10.76,6.97,0.0
20200111:0311,0.0,0.0,10.83,7.03,0.0
20200111:0411,0.0,0.0,10.92,7.1,0.0
20200111:0511,0.0,0.0,11.01,7.17,0.0
20200111:0611,0.0,0.0,11.17,7.38,0.0
20200111:0711,0.0,0.0,11.32,7.1,0.0
20200111:0811,0.0,0.0,11.46,7.17,0.0
20200111:0911,2.0,2.48,11.84,7.38,0.0
20200111:1011,12.0,8.17,11.99,7.17,0.0
20200111:1111,40.0,12.17,11.95,6.69,0.0
20200111:1211,32.0,14.16,11.54,6.41,0.0
20200111:1311,82.0,13.97,10.91,5.03,0.0
20200111:1411,24.0,11.61,9.93,4.69,0.0
20200111:1511,18.0,7.29,9.14,4.41,0.0
20200111:1611,0.0,0.0,8.74,4.14,0.0
20200111:1711,0.0,0.0,8.07,3.72,0.0
20200111:1811,0.0,0.0,7.6,3.45,0.0
20200111:1911,0.0,0.0,7.2,3.59,0.0
20200111:2011,0.0,0.0,6.94,3.24,0.0
20200111:2111,0.0,0.0,6.46,2.9,0.0
20200111:2211,0.0,0.0,6.0,2.69,0.0
20200111:2311,0.0,0.0,5.59,2.55,0.0
20200112:0011,0.0,0.0,5.19,2.48,0.0
20200112:0111,0.0,0.0,5.06,2.55,0.0
20200112:0211,0.0,0.0,5.07,2.62,0.0
20200112:0311,0.0,0.0,4.87,2.34,0.0
20200112:0411,0.0,0.0,4.84,2.62,0.0
20200112:0511,0.0,0.0,5.15,2.97,0.0
20200112:0611,0.0,0.0,5.18,3.03,0.0
20200112:0711,0.0,0.0,5.1,3.72,0.0
20200112:0811,0.0,0.0,5.08,3.66,0.0
20200112:0911,8.0,2.58,4.89,3.31,0.0
20200112:1011,101.99,8.29,4.8,3.17,0.0
20200112:1111,180.99,12.3,5.04,2.55,0.0
20200112:1211,210.0,14.31,5.53,3.1,0.0
20200112:1311,220.0,14.14,5.88,3.38,0.0
20200112:1411,144.0,11.79,6.04,3.24,0.0
20200112:1511,88.0,7.48,5.58,3.1,0.0
20200112:1611,0.0,0.0,5.01,2.9,0.0
20200112:1711,0.0,0.0,4.4,2.9,0.0
20200112:1811,0.0,0.0,3.97,3.1,0.0
20200112:1911,0.0,0.0,4.17,3.1,0.0
20200112:2011,0.0,0.0,4.13,3.24,0.0
20200112:2111,0.0,0.0,4.0,3.31,0.0
20200112:2211,0.0,0.0,3.89,3.52,0.0
20200112:2311,0.0,0.0,3.9,3.79,0.0
20200113:0011,0.0,0.0,3.65,3.86,0.0
20200113:0111,0.0,0.0,3.46,3.79,0.0
20200113:0211,0.0,0.0,3.34,3.79,0.0
20200113:0311,0.0,0.0,3.34,4.07,0.0
20200113:0411,0.0,0.0,3.49,4.48,0.0
20200113:0511,0.0,0.0,3.93,4.9,0.0
20200113:0611,0.0,0.0,4.53,5.45,0.0
20200113:0711,0.0,0.0,5.98,6.41,0.0
20200113:0811,0.0,0.0,6.43,6.9,0.0
20200113:0911,8.0,2.69,6.93,7.59,0.0
20200113:1011,39.0,8.41,7.37,8.34,0.0
20200113:1111,37.0,12.45,7.58,9.03,0.0
20200113:1211,41.0,14.48,7.24,9.72,0.0
20200113:1311,25.0,14.31,7.09,9.86,0.0
20200113:1411,52.0,11.97,6.9,8.48,0.0
20200113:1511,54.0,7.66,6.44,7.1,0.0
20200113:1611,1.0,1.72,6.22,7.93,0.0
20200113:1711,0.0,0.0,6.29,7.66,0.0
20200113:1811,0.0,0.0,6.03,7.1,0.0
20200113:1911,0.0,0.0,5.49,6.76,0.0
20200113:2011,0.0,0.0,5.17,6.76,0.0
20200113:2111,0.0,0.0,4.71,6.69,0.0
20200113:2211,0.0,0.0,4.05,6.83,0.0
20200113:2311,0.0,0.0,3.64,6.9,0.0
20200114:0011,0.0,0.0,3.25,6.28,0.0
20200114:0111,0.0,0.0,2.98,6.0,0.0
20200114:0211,0.0,0.0,2.75,5.66,0.0
20200114:0311,0.0,0.0,2.64,5.45,0.0
20200114:0411,0.0,0.0,2.5,4.97,0.0
20200114:0511,0.0,0.0,2.5,4.97,0.0
20200114:0611,0.0,0.0,2.56,4.83,0.0
20200114:0711,0.0,0.0,2.91,4.21,0.0
20200114:0811,0.0,0.0,2.73,3.79,0.0
20200114:0911,9.0,2.81,2.85,3.66,0.0
20200114:1011,19.0,8.55,3.47,3.66,0.0
20200114:1111,27.0,12.6,3.88,3.59,0.0
20200114:1211,50.0,14.64,3.6,3.03,0.0
20200114:1311,27.0,14.49,3.54,3.17,0.0
20200114:1411,54.0,12.16,3.52,3.79,0.0
20200114:1511,48.0,7.85,3.72,3.79,0.0
20200114:1611,2.0,1.91,3.58,3.52,0.0
20200114:1711,0.0,0.0,3.04,3.86,0.0
20200114:1811,0.0,0.0,2.76,4.21,0.0
20200114:1911,0.0,0.0,2.88,4.62,0.0
20200114:2011,0.0,0.0,2.72,4.62,0.0
20200114:2111,0.0,0.0,2.67,4.83,0.0
20200114:2211,0.0,0.0,2.64,4.97,0.0
20200114:2311,0.0,0.0,2.6,5.1,0.0
20200115:0011,0.0,0.0,2.63,5.24,0.0
20200115:0111,0.0,0.0,2.72,5.24,0.0
20200115:0211,0.0,0.0,2.74,5.31,0.0
20200115:0311,0.0,0.0,2.87,5.45,0.0
20200115:0411,0.0,0.0,3.12,5.45,0.0
20200115:0511,0.0,0.0,3.18,5.45,0.0
20200115:0611,0.0,0.0,3.38,5.52,0.0
20200115:0711,0.0,0.0,3.7,5.79,0.0
20200115:0811,0.0,0.0,3.82,5.79,0.0
20200115:0911,17.37,2.93,3.96,5.86,0.0
20200115:1011,116.99,8.68,4.46,6.0,0.0
20200115:1111,179.99,12.76,5.18,6.21,0.0
20200115:1211,208.0,14.82,5.8,4.76,0.0
20200115:1311,210.0,14.68,6.23,5.72,0.0
20200115:1411,150.0,12.35,6.37,6.07,0.0
20200115:1511,84.0,8.05,6.39,5.86,0.0
20200115:1611,9.0,2.11,6.07,5.1,0.0
20200115:1711,0.0,0.0,5.51,4.69,0.0
20200115:1811,0.0,0.0,5.13,4.41,0.0
20200115:1911,0.0,0.0,4.76,4.34,0.0
20200115:2011,0.0,0.0,4.71,4.0,0.0
20200115:2111,0.0,0.0,4.34,3.66,0.0
20200115:2211,0.0,0.0,3.91,3.52,0.0
20200115:2311,0.0,0.0,3.83,3.31,0.0
20200116:0011,0.0,0.0,4.16,3.45,0.0
20200116:0111,0.0,0.0,4.68,3.79,0.0
20200116:0211,0.0,0.0,5.42,4.34,0.0
20200116:0311,0.0,0.0,6.25,5.03,0.0
20200116:0411,0.0,0.0,7.0,5.45,0.0
20200116:0511,0.0,0.0,7.7,5.72,0.0
20200116:0611,0.0,0.0,8.15,6.07,0.0
20200116:0711,0.0,0.0,7.85,5.72,0.0
20200116:0811,0.0,0.0,8.06,6.07,0.0
20200116:0911,4.0,3.05,8.31,6.28,0.0
20200116:1011,43.0,8.83,8.69,6.21,0.0
20200116:1111,42.0,12.92,8.81,6.55,0.0
20200116:1211,62.0,15.0,8.94,7.24,0.0
20200116:1311,47.0,14.87,9.72,7.38,0.0
20200116:1411,82.0,12.55,10.44,6.97,0.0
20200116:1511,57.0,8.26,9.01,6.55,0.0
20200116:1611,8.86,2.31,7.4,5.17,0.0
20200116:1711,0.0,0.0,6.76,4.97,0.0
20200116:1811,0.0,0.0,6.5,5.03,0.0
20200116:1911,0.0,0.0,5.88,4.41,0.0
20200116:2011,0.0,0.0,5.56,4.07,0.0
20200116:2111,0.0,0.0,5.01,3.66,0.0
20200116:2211,0.0,0.0,4.56,3.38,0.0
20200116:2311,0.0,0.0,4.18,3.03,0.0
20200117:0011,0.0,0.0,3.86,2.76,0.0
20200117:0111,0.0,0.0,3.67,2.62,0.0
20200117:0211,0.0,0.0,3.48,2.55,0.0
20200117:0311,0.0,0.0,3.33,2.62,0.0
20200117:0411,0.0,0.0,3.34,2.76,0.0
20200117:0511,0.0,0.0,3.17,2.9,0.0
20200117:0611,0.0,0.0,2.98,3.1,0.0
20200117:0711,0.0,0.0,2.71,2.83,0.0
20200117:0811,0.0,0.0,2.5,3.03,0.0
20200117:0911,23.27,3.19,2.3,3.24,0.0
20200117:1011,126.99,8.98,2.8,3.45,0.0
20200117:1111,197.99,13.09,3.81,3.1,0.0
20200117:1211,233.0,15.19,4.64,3.52,0.0
20200117:1311,219.0,15.07,5.09,4.21,0.0
20200117:1411,63.0,12.76,4.83,3.86,0.0
20200117:1511,63.0,8.47,4.47,3.03,0.0
20200117:1611,8.0,2.52,4.11,2.83,0.0
20200117:1711,0.0,0.0,3.68,2.83,0.0
20200117:1811,0.0,0.0,3.5,2.83,0.0
20200117:1911,0.0,0.0,3.21,3.03,0.0
20200117:2011,0.0,0.0,2.69,3.1,0.0
20200117:2111,0.0,0.0,2.28,3.1,0.0
20200117:2211,0.0,0.0,1.91,2.97,0.0
20200117:2311,0.0,0.0,1.58,2.83,0.0
20200118:0011,0.0,0.0,1.26,2.55,0.0
